Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017
INDICADORES DE VALUATION,D.Y,"0,24%","0,27%","0,63%","0,26%","0,17%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"64,10","57,03","57,12","94,91","121,97",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-1,37","-1,22",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,14","1,01","1,57","4,05","13,83",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,75","6,08","10,71","26,86","38,45",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"14,37","12,95","20,77","41,06","57,46",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"6,89","6,13","10,99","28,73","38,40",-,-,-
INDICADORES DE VALUATION,P/EBIT,"14,68","13,06","21,30","43,91","57,38",-,-,-
INDICADORES DE VALUATION,VPA,"3,90","3,90","3,99","4,04","1,38",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,52","0,46","0,79","2,07","3,76",-,-,-
INDICADORES DE VALUATION,LPA,"0,07","0,07","0,11","0,17","0,16",-,-,-
INDICADORES DE VALUATION,P/SR,"0,65","0,58","1,02","3,40","4,96",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,17","2,82","8,21","10,74","30,70",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,79","-0,70","-1,13","-3,42","-7,07",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,01","-0,01","-0,04","-0,26","0,02","1,30","0,53","0,34"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,05","-0,05","-0,27","-1,86","0,05","1,76","1,16",-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,11","-0,11","-0,53","-2,85","0,07","2,66","1,81","2,13"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,45","0,45","0,50","0,51","0,27","0,14","0,30","0,39"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,55","0,55","0,50","0,49","0,73","0,86","0,70","0,61"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,90","1,90","1,48","1,95","1,35","1,16","1,65","1,49"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"46,61%","46,61%","47,65%","48,29%","48,27%","48,31%","45,82%","44,33%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"9,49%","9,49%","9,28%","11,82%","12,91%","13,24%","10,81%",-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"4,46%","4,46%","4,79%","7,73%","8,64%","8,73%","6,92%","4,20%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"1,02%","1,02%","1,78%","3,58%","4,06%","2,39%","4,02%","1,91%"
INDICADORES DE RENTABILIDADE,ROE,"1,78%","1,78%","2,75%","4,27%","11,34%","13,37%","17,00%","7,24%"
INDICADORES DE RENTABILIDADE,ROA,"0,81%","0,81%","1,39%","2,18%","3,08%","1,90%","5,18%","2,84%"
INDICADORES DE RENTABILIDADE,ROIC,"5,40%","5,40%","5,72%","7,17%","11,13%","12,76%","8,48%","6,75%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,79","0,79","0,78","0,61","0,76","0,79","1,29","1,48"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"36,54%","36,54%","36,54%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"22,89%","22,89%","34,65%",-%,-%,-%,-%,-%
