Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"3,28%","3,29%","5,02%","3,51%","3,24%","1,33%","2,72%","0,46%","4,78%","4,46%","4,54%",-%,"2,48%","5,25%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"10,43","8,38","5,97","7,88","26,17","21,16","20,22","51,15","11,20","19,08","13,44","7,92","19,28","9,27",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,05","0,04",-,-,-,-,"0,13","-0,76","0,07","-0,31","-0,58","-2,10","-1,53",-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,46","1,98","0,85","0,99","1,06","1,84","1,79","1,94","1,34","0,91","1,81","1,51","4,45","2,74",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,77","8,08","8,73","11,63","12,10","15,61",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"12,18","10,07","14,03","16,22","21,18","19,35","14,85","56,91","10,25","16,66","15,96","8,41","17,10","8,99",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"9,30","7,47","6,27","9,09","9,00","13,66",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"11,59","9,31","10,08","12,67","15,76","16,94","12,53","49,72","8,09","9,99","11,26","5,79","15,41","7,83",-,-,-
INDICADORES DE VALUATION,VPA,"2,97","3,56","3,34","3,07","2,70","2,44","2,28","2,05","2,05","2,04","1,84","3,38","2,90","2,59",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,09","0,88","0,36","0,43","0,46","0,82","0,73","0,78","0,49","0,33","0,67","0,56","1,74","0,94",-,-,-
INDICADORES DE VALUATION,LPA,"0,70","0,84","0,47","0,39","0,11","0,21","0,20","0,08","0,24","0,10","0,25","0,64","0,67","0,77",-,-,-
INDICADORES DE VALUATION,P/SR,"1,29","1,04","0,49","0,83","0,76","0,99","0,90","1,28","0,95","0,61","0,88","0,63","1,72","1,10",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,35","2,70","1,44","2,15","1,87","3,22","3,06","3,07","1,76","1,19","1,82","1,56","8,11","3,27",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,77","-2,23","-0,82","-0,88","-1,01","-1,81","-1,81","-1,93","-1,29","-0,81","-1,69","-1,44","-4,66","-2,93",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,31","0,31","0,38","0,34","0,39","0,27","0,47","0,42","0,47","0,63","0,74","0,70","0,62","0,50","0,67","0,97","1,10"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,16","1,16","2,80","3,14","3,27","2,01",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,44","1,44","4,50","4,37","5,72","2,50","3,25","10,73","2,83","6,97","4,63","2,70","2,16","1,43","1,75","5,01","3,38"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,44","0,44","0,43","0,44","0,44","0,44","0,41","0,40","0,37","0,36","0,37","0,37","0,37","0,34","0,32","0,29","0,28"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,55","0,55","0,57","0,56","0,56","0,55","0,59","0,59","0,62","0,63","0,62","0,63","0,63","0,65","0,68","0,70","0,72"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,16","2,16","1,81","1,66","1,85","1,87","1,67","1,74","1,84","1,88","2,59","2,39","1,63","1,94","2,10","1,92","1,49"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"21,68%","21,68%","15,32%","10,18%","16,59%","15,07%","15,83%","14,04%","12,66%","17,38%","17,42%","19,96%","20,56%","22,01%","21,30%","19,01%","18,27%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"13,91%","13,91%","7,89%","9,08%","8,41%","7,23%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"11,16%","11,16%","4,91%","6,52%","4,80%","5,83%","7,18%","2,58%","11,81%","6,06%","7,80%","10,79%","11,14%","14,00%","12,27%","6,99%","8,68%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"12,41%","12,41%","8,29%","10,48%","2,89%","4,67%","4,45%","2,51%","8,52%","3,17%","6,53%","7,89%","8,90%","11,83%","10,00%","6,17%","4,84%"
INDICADORES DE RENTABILIDADE,ROE,"23,64%","23,64%","14,20%","12,62%","4,07%","8,72%","8,87%","3,80%","11,95%","4,76%","13,48%","19,05%","23,08%","29,53%","31,02%","17,12%","18,12%"
INDICADORES DE RENTABILIDADE,ROA,"10,46%","10,46%","6,07%","5,51%","1,77%","3,88%","3,63%","1,53%","4,42%","1,73%","5,01%","7,01%","8,54%","10,15%","9,79%","5,05%","5,04%"
INDICADORES DE RENTABILIDADE,ROIC,"10,28%","10,28%","4,35%","3,86%","2,81%","5,25%","6,95%","1,64%","3,75%","2,94%","5,63%","8,81%","10,43%","10,12%","9,35%","3,99%","8,71%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,84","0,84","0,73","0,53","0,61","0,83","0,82","0,61","0,52","0,54","0,77","0,89","0,96","0,86","0,98","0,82","1,04"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"13,49%","13,49%","13,49%","6,33%","5,56%","4,88%","2,78%","-3,12%","-2,36%","-1,57%","10,93%","7,72%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"61,66%","61,66%","44,15%","10,82%","3,62%","-1,94%","-8,35%","-24,80%","-8,56%","-21,76%","12,20%","18,81%",-%,-%,-%,-%,-%
