Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"0,16%","0,16%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"8,75","8,96","9,58","13,62","22,43","7,30","6,46","21,22","5,95","0,66",-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,29","0,30",-,-,-,-,"0,02","-0,27","0,05","-0,01",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"3,09","3,17","3,32","2,74","3,22","2,47","1,31","1,22","1,72","0,08",-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,44","6,53","6,75","5,80","6,64","4,35","3,26",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"8,65","8,78","8,29","8,20","12,58","6,66","4,73","14,28","3,46","-4,66",-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"5,30","5,43","6,83","6,05","5,68","3,28","5,35",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"7,12","7,30","8,39","8,56","10,77","5,02","7,77","25,56","5,54","0,87",-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"14,46","14,54","11,21","7,54","21,77","13,38","75,47","66,95","12,65","30,73","2,09","4,89","622,00","821,20",-,-
INDICADORES DE VALUATION,P/ATIVO,"1,40","1,43","1,62","1,49","1,50","0,87","0,86","0,85","1,33","0,06",-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"5,11","5,14","3,88","1,52","3,13","4,53","15,36","3,86","3,66","3,71","-3,37","-7,52","-47,18","-64,49",-,-
INDICADORES DE VALUATION,P/SR,"3,93","4,03","5,16","4,13","5,33","2,82","1,56","2,02","3,61","0,29",-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"32,46","33,25","3,56","3,62","-32,97","-19,68","1,98","1,71","2,05","0,09",-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,70","-1,74","-3,39","-2,97","-2,05","-1,20","-2,66","-2,57","-4,78","-0,26",-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,64","0,64","-0,04","-0,11","0,54","0,80","-0,51","-0,54","-0,65","-0,51","-0,58","-0,25","-0,25","-0,39","-0,91","-0,85"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,10","1,10","-0,08","-0,25","0,95","1,07","-2,10",-,-,-,"0,40","0,14","2,46","3,05","12,80","21,91"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,48","1,48","-0,10","-0,35","1,81","1,64","-3,04","-11,28","-2,08","-5,52","0,34","0,14","2,24","2,94","12,67","21,63"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,45","0,45","0,49","0,54","0,46","0,34","0,65","0,70","0,77","0,78","0,59","0,81","0,86","0,72","0,99","0,97"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,55","0,55","0,51","0,46","0,54","0,66","0,35","0,30","0,23","0,22","0,41","0,19","0,14","0,28","0,01","0,03"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,32","1,32","7,64","5,62","0,86","0,86","2,80","3,92","9,82","10,53","5,22","3,01","5,99","4,79","69,50","32,37"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"62,28%","62,28%","66,90%","57,16%","32,42%","39,73%","37,71%","18,52%","-2,66%","-16,35%","3,85%","48,42%","53,71%","5,11%","7,54%","85,55%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"74,18%","74,18%","75,57%","68,31%","93,82%","86,09%","29,12%",-%,-%,-%,"-184,01%","-58.700,68%","-5.463,64%","-4.925,46%","-1.215,85%","-71,37%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"55,18%","55,18%","61,54%","48,26%","49,51%","56,21%","20,06%","7,91%","65,12%","33,28%","-219,35%","-59.277,09%","-5.991,46%","-5.101,11%","-1.228,00%","-72,30%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"44,93%","44,93%","53,86%","30,32%","23,78%","38,67%","24,13%","9,52%","60,73%","43,63%","-206,04%","-50.918,54%","-4.114,53%","-3.059,63%","-913,04%","-57,45%"
INDICADORES DE RENTABILIDADE,ROE,"35,33%","35,33%","34,64%","20,14%","14,37%","33,85%","20,35%","5,76%","28,97%","12,08%","-161,34%","-153,85%","-7,59%","-7,85%","-5,35%","-3,11%"
INDICADORES DE RENTABILIDADE,ROA,"15,98%","15,98%","16,88%","10,91%","6,67%","11,60%","13,33%","4,00%","22,32%","9,38%","-94,53%","-123,96%","-6,52%","-5,64%","-5,28%","-3,02%"
INDICADORES DE RENTABILIDADE,ROIC,"22,46%","22,46%","19,26%","18,58%","16,03%","21,31%","10,40%","3,96%","28,60%","8,32%","-158,06%","-192,04%","-11,04%","-13,69%","-7,32%","-4,45%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,36","0,36","0,31","0,36","0,28","0,30","0,55","0,42","0,37","0,22","0,46","0,00","0,00","0,00","0,01","0,05"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"64,15%","64,15%","64,15%","61,68%","49,72%","27,56%","186,54%","139,71%","109,17%","74,61%","85,79%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"145,76%","145,76%","132,13%","40,72%","32,61%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
