Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"4,57%","3,07%","5,00%","12,49%","4,37%","3,38%","7,74%","4,14%","4,94%","6,06%","4,05%","3,73%","4,17%","4,93%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"9,18","8,55","13,19","8,76","9,38","14,71","12,86","10,67","9,50","9,29","11,22","6,84","11,28","12,03",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,10","0,09",-,-,-,-,"0,68","0,53","-1,11","0,65","-0,30","0,06","0,64",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,68","1,57","1,41","1,44","1,77","2,45","2,21","1,52","1,24","1,45","1,64","1,63","1,52","1,48",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"3,19","2,68","4,68","3,17","2,80","8,23",-,-,-,-,-,"1,14","-9,96","-16,64",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"3,73","3,13","6,73","3,73","3,18","10,21","4,88","1,35","-9,49","-0,24","7,28","1,14","-140,93","17,09",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"7,50","6,99","14,70","9,23","8,29","16,55",-,-,-,-,-,"7,58","58,40","91,71",-,-,-
INDICADORES DE VALUATION,P/EBIT,"8,76","8,16","21,16","10,85","9,41","20,53","13,59","29,22","72,77","27,17","23,03","7,58","826,58","-94,17",-,-,-
INDICADORES DE VALUATION,VPA,"18,34","18,34","16,37","14,48","27,74","25,58","23,64","23,86","21,65","19,92","18,55","18,22","15,45","14,34",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,36","0,34","0,30","0,32","0,43","0,62","0,55","0,41","0,34","0,40","0,44","0,47","0,41","0,42",-,-,-
INDICADORES DE VALUATION,LPA,"3,36","3,36","1,76","2,39","5,22","4,27","4,05","3,41","2,83","3,10","2,71","4,35","2,08","1,77",-,-,-
