Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
INDICADORES DE VALUATION,D.Y,"3,31%","2,33%","4,35%","12,26%","0,84%","3,52%","5,61%","4,41%","8,80%","3,00%",-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-16,94","-24,10","17,96","13,12","25,34","26,75","9,19","23,83","13,05","17,07","59,06","-188,69","248,27",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,14","0,20",-,-,-,-,"1,29","-2,84","0,17","0,21","-0,12","0,78",-,-,-
INDICADORES DE VALUATION,P/VP,"0,51","0,73","1,24","3,79","5,90","7,37","1,55","3,73","2,56","1,95","3,16","2,98","2,77",-,-
INDICADORES DE VALUATION,EV/EBITDA,"3,55","4,06","4,11","6,26","10,80","11,51",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"20,98","24,02","8,87","9,85","17,31","18,76","5,76","14,60","10,94","9,52","18,02","25,30","71,90",-,-
INDICADORES DE VALUATION,P/EBITDA,"1,22","1,73","2,13","4,79","10,17","10,66",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"7,20","10,25","4,60","7,54","16,31","17,38","5,56","14,52","10,70","9,19","18,08","25,87","69,85",-,-
INDICADORES DE VALUATION,VPA,"4,67","4,67","4,74","4,46","5,93","5,03","8,31","8,31","7,52","7,25","8,79","7,55","7,66",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,14","0,21","0,37","1,09","2,25","3,14","1,03","2,50","1,47","1,13","1,96","1,84","1,81",-,-
INDICADORES DE VALUATION,LPA,"-0,14","-0,14","0,33","1,29","1,38","1,39","1,40","1,30","1,48","0,83","0,47","-0,12","0,09",-,-
INDICADORES DE VALUATION,P/SR,"0,38","0,54","0,85","2,29","4,90","5,25","1,89","4,26","2,69","2,24","4,99","4,99","6,01",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,06","4,35","3,19","-3,51","20,23","23,16","-55,12","14,10","32,17","16,56","16,32","50,37","-225,60",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,22","-0,32","-0,50","-1,52","-3,58","-4,28","-1,42","-3,54","-1,96","-1,42","-2,61","-2,20","-2,00",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,98","0,98","1,15","1,16","0,36","0,59","0,05","0,02","0,06","0,07","-0,01","-0,07","0,08","-0,01","0,16"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,33","2,33","1,98","1,47","0,63","0,85",-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"13,78","13,78","4,27","2,31","1,00","1,39","0,19","0,08","0,25","0,33","-0,06","-0,56","2,05","-0,94","59,26"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,28","0,28","0,30","0,29","0,38","0,42","0,66","0,67","0,57","0,58","0,62","0,61","0,65","0,68","0,66"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,71","0,71","0,70","0,71","0,62","0,58","0,34","0,33","0,42","0,42","0,38","0,38","0,35","0,32","0,34"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,16","1,16","1,78","0,48","1,43","1,97","0,94","2,54","1,23","1,49","1,94","1,28","0,92","1,68","1,15"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"77,16%","77,16%","77,24%","79,69%","81,59%","81,05%","80,92%","76,03%","74,41%","73,66%","74,55%","74,61%","73,36%","73,51%","74,63%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"31,17%","31,17%","40,10%","47,81%","48,21%","49,19%",-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"5,27%","5,27%","18,57%","30,37%","30,07%","30,18%","33,96%","29,32%","25,13%","24,39%","27,59%","19,29%","8,60%","1,67%","2,51%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-2,24%","-2,24%","4,76%","17,45%","19,35%","19,61%","20,55%","17,86%","20,60%","13,13%","8,44%","-2,64%","2,42%","-4,98%","-9,75%"
INDICADORES DE RENTABILIDADE,ROE,"-3,02%","-3,02%","6,89%","28,89%","23,29%","27,53%","16,86%","15,66%","19,61%","11,41%","5,35%","-1,58%","1,12%","-1,74%","-1,08%"
INDICADORES DE RENTABILIDADE,ROA,"-0,86%","-0,86%","2,06%","8,31%","8,90%","11,62%","11,19%","10,50%","11,27%","6,61%","3,33%","-0,97%","0,72%","-1,19%","-0,71%"
INDICADORES DE RENTABILIDADE,ROIC,"1,02%","1,02%","8,77%","13,13%","14,89%","15,58%","14,31%","13,79%","16,90%","10,31%","9,49%","9,60%","1,64%","-0,94%","-0,39%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,38","0,38","0,43","0,48","0,46","0,59","0,54","0,59","0,55","0,50","0,39","0,37","0,30","0,24","0,07"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"-1,22%","-1,22%","-1,22%","1,31%","3,21%","6,05%","10,00%","17,65%","23,62%","57,57%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,"-24,19%","-2,00%","11,54%","25,52%",-%,"75,48%",-%,-%,-%,-%,-%,-%,-%
