Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"0,76%","0,33%","1,07%","0,91%","1,64%","0,57%","1,11%","0,67%","0,97%","1,53%","0,89%","0,47%","0,52%","0,34%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"40,95","46,80","39,34","53,38","85,39","47,76","37,58","59,33","45,16","34,46","37,83","48,35","72,69","35,56",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"1,82","2,08",-,-,-,-,"-22,04","4,18","1,43","0,64","0,32","-13,10","1,38",-,-,-,-
INDICADORES DE VALUATION,P/VP,"7,73","8,83","7,34","8,58","9,48","9,16","5,40","9,41","6,95","4,45","3,41","2,10","3,37","1,11",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"12,59","14,15","12,24","15,33","20,13","17,46",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"22,84","25,67","22,33","30,22","46,00","33,72","27,00","38,70","28,85","23,46","27,09","32,61","53,48","28,47",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"11,80","13,48","11,68","14,90","19,76","17,08",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"21,41","24,46","21,30","29,38","45,16","32,98","26,17","38,27","28,65","23,40","27,09","32,59","53,31","30,70",-,-,-
INDICADORES DE VALUATION,VPA,"3,33","3,33","3,23","2,83","2,64","12,18","10,59","9,75","8,81","7,97","7,44","7,04","6,85","11,69",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"2,28","2,61","2,28","2,72","2,99","3,01","2,57","4,69","3,57","2,49","2,07","1,35","2,28","0,77",-,-,-
INDICADORES DE VALUATION,LPA,"0,63","0,63","0,60","0,46","0,29","2,34","1,52","1,55","1,36","1,03","0,67","0,31","0,32","0,36",-,-,-
INDICADORES DE VALUATION,P/SR,"1,34","1,54","1,35","1,66","2,06","2,10","1,28","2,30","1,80","1,32","1,13","0,78","2,56","0,90",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"12,21","13,95","12,21","22,02","18,64","21,99","11,68","21,14","16,26","11,30","8,64","5,53","9,18","2,93",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-5,48","-6,26","-5,15","-5,69","-6,08","-5,68","-6,69","-11,96","-9,06","-5,82","-4,64","-2,85","-4,63","-1,58",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,43","0,43","0,35","0,25","0,18","0,21","0,17","0,11","0,05","0,01","0,00","0,00","0,01","-0,08","-0,25","-0,25","-0,23"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,66","0,66","0,56","0,43","0,37","0,38",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,20","1,20","1,02","0,84","0,84","0,74","0,83","0,44","0,19","0,06","0,00","0,02","0,18","-2,23","-1,31","-1,08","-1,78"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,30","0,30","0,31","0,32","0,32","0,33","0,48","0,50","0,51","0,56","0,61","0,64","0,68","0,69","0,65","0,56","0,61"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,70","0,70","0,69","0,68","0,68","0,67","0,52","0,50","0,48","0,43","0,39","0,36","0,32","0,31","0,35","0,44","0,39"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,47","1,47","1,50","1,31","1,46","1,41","1,55","1,58","1,57","1,63",-,-,"1,96","2,05",-,-,"2,28"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"29,98%","29,98%","30,31%","29,87%","29,36%","29,59%","30,03%","30,18%","31,13%","30,51%","28,55%","27,60%","28,36%","26,29%","23,86%","23,18%","23,34%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"11,39%","11,39%","11,54%","11,16%","10,43%","12,29%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"6,28%","6,28%","6,33%","5,66%","4,56%","6,37%","4,87%","6,00%","6,27%","5,63%","4,18%","2,40%","4,80%","2,92%","5,60%","5,63%","3,79%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"3,28%","3,28%","3,43%","3,12%","2,41%","4,40%","3,39%","3,87%","3,98%","3,82%","3,00%","1,62%","3,52%","2,52%","4,44%","4,34%","4,06%"
INDICADORES DE RENTABILIDADE,ROE,"18,86%","18,86%","18,65%","16,07%","11,10%","19,19%","14,36%","15,86%","15,39%","12,92%","9,01%","4,34%","4,63%","3,12%","14,87%","18,12%","14,18%"
INDICADORES DE RENTABILIDADE,ROA,"5,57%","5,57%","5,80%","5,09%","3,50%","6,30%","6,83%","7,91%","7,91%","7,24%","5,47%","2,79%","3,14%","2,17%","9,65%","10,20%","8,59%"
INDICADORES DE RENTABILIDADE,ROIC,"21,88%","21,88%","21,51%","18,37%","13,08%","21,41%","13,52%","16,02%","16,76%","13,71%","8,34%","4,33%","4,36%","2,41%","12,42%","14,74%","7,25%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"1,70","1,70","1,69","1,63","1,45","1,43","2,01","2,04","1,99","1,89","1,83","1,72","0,89","0,86","2,17","2,35","2,12"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"17,08%","17,08%","17,08%","16,47%","17,66%","18,90%","18,88%","34,73%","32,76%","34,72%","33,85%","37,67%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"16,12%","16,12%","14,27%","10,93%","7,32%","28,39%","37,84%","37,28%","45,48%","30,75%","24,31%","14,56%",-%,-%,-%,-%,-%
