Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"0,28%","0,29%","0,10%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"45,22","44,24","67,01","218,75","120,05","52,29","100,26","-66,59","-3,94","-3,65",-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,05","-0,05",-,-,-,-,"-0,50","0,88","0,41","0,09",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,73","2,67","2,27","2,23","2,38","4,88","3,30","2,24","0,77","2,10",-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,56","9,40","8,77","13,33","12,55","13,17",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"14,91","14,66","14,45","29,39","24,54","23,87","21,11","18,98","40,08","-516,54",-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"7,48","7,32","6,90","9,83","9,37","10,63",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"11,67","11,41","11,36","21,67","18,31","19,25","15,14","12,27","14,55","-235,23",-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"8,59","8,59","8,19","7,98","8,08","5,35","5,15","5,79","7,92","2,97","3,02","6,33","6,11","5,83",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,88","0,86","0,75","0,68","0,78","1,24","0,98","0,66","0,18","0,28",-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"0,52","0,52","0,28","0,08","0,16","0,50","0,17","-0,19","-1,56","-1,71","-2,96","-0,03","0,35","0,36",-,-
INDICADORES DE VALUATION,P/SR,"4,13","4,04","3,51","4,43","5,12","5,74","4,02","2,92","0,97","1,03",-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"7,64","7,48","8,49","4,15","5,86","21,28","16,56","19,41","-3,83","-2,28",-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,15","-1,12","-0,95","-0,92","-1,02","-1,46","-1,15","-0,80","-0,20","-0,31",-,-,-,-,-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,76","0,76","0,62","0,79","0,81","1,17","1,30","1,22","1,36","2,52","2,80","0,93","0,95","0,88","0,73","0,64"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,08","2,08","1,87","3,50","3,19","2,55",-,-,-,-,"-16,31",-,"3,42",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,25","3,25","3,09","7,72","6,23","4,62","5,97","6,71","25,53","-281,31","-7,23","3,96","3,28","3,07","2,73","3,63"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,32","0,32","0,33","0,31","0,33","0,25","0,30","0,30","0,23","0,13","0,12","0,23","0,24","0,28","0,30","0,29"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,67","0,67","0,66","0,69","0,67","0,74","0,69","0,69","0,75","0,85","0,86","0,76","0,76","0,71","0,69","0,70"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,99","1,99","1,71","2,79","2,34","1,63","1,65","1,25","0,68","0,40","0,29","1,39","1,45","1,53","1,59","1,97"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE EFICIÊNCIA,M. BRUTA,"36,76%","36,76%","31,97%","28,06%","32,22%","34,98%","32,18%","29,02%","12,53%","16,59%","18,70%","38,06%","41,56%","40,88%","44,17%","35,57%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"55,18%","55,18%","50,84%","45,03%","54,66%","54,03%",-%,-%,-%,-%,"-8,82%",-%,"35,08%",-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"35,38%","35,38%","30,85%","20,43%","27,97%","29,82%","26,59%","23,80%","6,67%","-0,44%","-19,89%","30,19%","36,64%","36,21%","37,11%","25,55%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"9,13%","9,13%","5,23%","2,02%","4,27%","10,98%","4,01%","-4,39%","-24,66%","-28,36%","-55,57%","-0,57%","7,11%","7,72%","8,71%","1,41%"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE RENTABILIDADE,ROE,"6,04%","6,04%","3,39%","1,02%","1,98%","9,33%","3,29%","-3,36%","-19,67%","-57,71%","-108,07%","-0,44%","5,65%","6,09%","6,30%","0,97%"
INDICADORES DE RENTABILIDADE,ROA,"1,95%","1,95%","1,12%","0,31%","0,65%","2,37%","0,97%","-0,99%","-4,62%","-7,78%","-12,96%","-0,10%","1,34%","1,73%","1,92%","0,29%"
INDICADORES DE RENTABILIDADE,ROIC,"10,08%","10,08%","8,84%","4,19%","5,05%","9,76%","7,85%","7,95%","1,23%","-1,45%","-9,83%","8,32%","11,25%","11,65%","11,46%","4,42%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,21","0,21","0,21","0,15","0,15","0,22","0,24","0,23","0,19","0,27","0,23","0,18","0,19","0,22","0,22","0,20"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"10,60%","10,60%","10,60%","11,53%","10,92%","14,09%","14,26%","12,26%","6,32%","8,54%","8,20%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%

