Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020
INDICADORES DE VALUATION,D.Y,"7,64%","6,61%","4,56%","0,25%",-%
INDICADORES DE VALUATION,P/L,"10,66","12,31","15,86","21,20",-
INDICADORES DE VALUATION,PEG RATIO,"0,07","0,08",-,-,-
INDICADORES DE VALUATION,P/VP,"1,58","1,82","1,83","3,26",-
INDICADORES DE VALUATION,EV/EBITDA,"2,16","2,34","3,75","5,73",-
INDICADORES DE VALUATION,EV/EBIT,"6,09","6,59","7,81","11,71",-
INDICADORES DE VALUATION,P/EBITDA,"1,15","1,33","2,30","5,30",-
INDICADORES DE VALUATION,P/EBIT,"3,25","3,76","4,79","10,82",-
INDICADORES DE VALUATION,VPA,"2,21","2,21","2,05","1,98",-
INDICADORES DE VALUATION,P/ATIVO,"0,32","0,37","0,37","0,64",-
INDICADORES DE VALUATION,LPA,"0,33","0,33","0,24","0,30",-
INDICADORES DE VALUATION,P/SR,"0,16","0,19","0,16","0,35",-
INDICADORES DE VALUATION,P/CAP. GIRO,"13,63","15,73","4,93","8,27",-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,56","-0,65","-0,70","-1,25",-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,38","1,38","1,13","1,03","1,79"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,01","1,01","1,45","0,43","2,43"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,84","2,84","3,03","0,89","3,72"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,21","0,21","0,22","0,17","0,13"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,79","0,79","0,78","0,82","0,86"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,06","1,06","1,16","1,12","1,12"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"7,99%","7,99%","6,21%","6,12%","4,84%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"14,01%","14,01%","6,86%","6,59%","3,21%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"4,97%","4,97%","3,29%","3,23%","2,10%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"1,52%","1,52%","0,99%","1,65%","1,11%"
INDICADORES DE RENTABILIDADE,ROE,"14,79%","14,79%","11,28%","59,12%","25,59%"
INDICADORES DE RENTABILIDADE,ROA,"3,04%","3,04%","2,43%","10,03%","3,42%"
INDICADORES DE RENTABILIDADE,ROIC,"14,92%","14,92%","13,33%","38,14%","10,59%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"2,00","2,00","2,45","6,09","3,06"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%
