Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018
INDICADORES DE VALUATION,D.Y,"1,46%","1,28%","1,37%","3,26%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"33,89","38,59","56,67","57,21","316,57",-,-
INDICADORES DE VALUATION,PEG RATIO,"1,39","1,58",-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,54","2,89","3,10","6,63","9,96",-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,83","11,15","13,25","21,48","57,95",-,-
INDICADORES DE VALUATION,EV/EBIT,"13,99","15,86","18,02","28,68","87,84",-,-
INDICADORES DE VALUATION,P/EBITDA,"9,50","10,81","12,77","18,40","54,64",-,-
INDICADORES DE VALUATION,P/EBIT,"13,51","15,38","17,37","24,57","82,82",-,-
INDICADORES DE VALUATION,VPA,"9,95","9,95","9,53","6,76","6,86",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,60","0,69","0,73","1,72","2,97",-,-
INDICADORES DE VALUATION,LPA,"0,75","0,75","0,52","0,78","0,22",-,-
INDICADORES DE VALUATION,P/SR,"1,43","1,62","2,95","4,42","9,67",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,05","2,34","2,72","5,38","7,30",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,13","-1,29","-1,33","-2,95","-5,84",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,09","0,09","0,12","1,11","0,60","2,04","1,80"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,34","0,34","0,48","3,08","3,31","3,05","2,92"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,48","0,48","0,65","4,11","5,02","3,83","3,42"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,24","0,24","0,24","0,26","0,30","0,20","0,23"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,75","0,75","0,75","0,72","0,69","0,80","0,76"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,70","2,70","2,49","4,25","5,81","3,61","3,69"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"17,33%","17,33%","22,63%","23,60%","18,30%","26,13%","25,70%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"15,02%","15,02%","23,07%","24,03%","17,69%","26,16%","24,46%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"10,55%","10,55%","16,96%","18,00%","11,67%","20,84%","20,86%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"4,21%","4,21%","5,20%","7,73%","3,05%","8,76%","10,72%"
INDICADORES DE RENTABILIDADE,ROE,"7,49%","7,49%","5,48%","11,60%","3,15%","22,40%","26,99%"
INDICADORES DE RENTABILIDADE,ROA,"1,78%","1,78%","1,29%","3,00%","0,94%","4,39%","6,15%"
INDICADORES DE RENTABILIDADE,ROIC,"6,86%","6,86%","6,85%","7,83%","4,25%","10,88%","11,06%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,42","0,42","0,25","0,39","0,31","0,50","0,57"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%
