Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"3,56%","1,77%","2,48%","0,84%","0,50%","0,88%","0,91%","2,78%","2,15%","3,33%","1,12%","4,83%","0,96%","1,46%",-%,-%
INDICADORES DE VALUATION,P/L,"37,33","43,96","28,39","19,67","49,89","41,07","30,11","9,70","21,57","13,06","18,42","18,34","31,39","17,71",-,-
INDICADORES DE VALUATION,PEG RATIO,"-2,32","-2,74",-,-,-,-,"0,99","0,41","12,60","-6,57","2,70","0,31","-1,81",-,-,-
INDICADORES DE VALUATION,P/VP,"2,29","2,70","2,55","5,28","8,64","6,29","6,41","1,89","4,02","2,71","4,57","5,26","5,71","4,61",-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,84","9,91","12,14","12,88","23,84","18,44",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"16,12","18,08","17,68","14,77","32,65","27,39","19,97","9,05","14,16","9,37","12,23","12,85","18,88","10,96",-,-
INDICADORES DE VALUATION,P/EBITDA,"5,95","7,00","7,94","10,87","21,19","15,48",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"10,85","12,77","11,56","12,47","29,03","22,99","15,82","5,06","11,45","7,15","10,41","10,81","16,24","8,67",-,-
INDICADORES DE VALUATION,VPA,"23,50","23,59","20,89","10,04","7,98","7,54","4,64","11,69","8,52","9,17","7,82","6,33","6,57","5,56",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,78","0,92","0,80","1,59","2,56","1,77","1,42","0,44","1,19","0,86","1,33","1,54","1,87","1,29",-,-
INDICADORES DE VALUATION,LPA,"1,44","1,45","1,87","2,69","1,38","1,15","0,99","2,27","1,59","1,90","1,94","1,81","1,19","1,45",-,-
INDICADORES DE VALUATION,P/SR,"2,15","2,53","2,94","3,69","5,07","3,36","2,51","0,81","1,99","1,34","1,94","2,01","2,39","1,77",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"221,61","261,01","138,37","20,53","41,07","35,24","56,01","4,10","22,01","8,09","13,40","13,64","14,71","14,59",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,98","-1,16","-0,97","-2,19","-3,52","-2,30","-1,93","-0,63","-1,71","-1,28","-2,03","-2,28","-2,70","-1,80",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,12","1,12","1,35","0,97","1,08","1,20","1,68","1,49","0,95","0,84","0,80","0,99","0,93","1,22","1,43","1,52"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,91","2,91","4,20","2,01","2,65","2,96",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"5,31","5,31","6,12","2,30","3,62","4,40","4,15","3,99","2,71","2,22","1,82","2,04","2,64","2,29","2,61","4,07"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,34","0,34","0,31","0,30","0,30","0,28","0,22","0,23","0,30","0,32","0,29","0,29","0,33","0,28","0,27","0,26"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,66","0,66","0,69","0,70","0,70","0,72","0,78","0,77","0,70","0,68","0,71","0,71","0,67","0,72","0,73","0,74"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,02","1,02","1,04","1,39","1,30","1,28","1,11","1,54","1,22","1,48","1,40","1,53","1,70","1,45","0,90","0,87"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"29,04%","29,04%","37,38%","43,10%","28,12%","24,62%","26,22%","27,19%","29,06%","31,55%","30,36%","30,29%","26,33%","30,94%","29,79%","24,37%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"36,09%","36,09%","37,07%","33,92%","23,94%","21,70%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"19,78%","19,78%","25,47%","29,57%","17,48%","14,61%","15,89%","16,00%","17,37%","18,72%","18,67%","18,60%","14,71%","20,41%","19,63%","14,57%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"5,75%","5,75%","10,37%","18,75%","10,17%","8,18%","8,35%","8,35%","9,22%","10,24%","10,55%","10,96%","7,61%","9,99%","10,25%","6,00%"
INDICADORES DE RENTABILIDADE,ROE,"6,13%","6,13%","8,97%","26,83%","17,32%","15,31%","21,30%","19,44%","18,63%","20,73%","24,80%","28,66%","18,19%","26,03%","28,47%","15,42%"
INDICADORES DE RENTABILIDADE,ROA,"2,09%","2,09%","2,81%","8,07%","5,13%","4,30%","4,71%","4,52%","5,52%","6,57%","7,21%","8,40%","5,96%","7,27%","7,63%","3,99%"
INDICADORES DE RENTABILIDADE,ROIC,"8,55%","8,55%","7,34%","11,79%","8,60%","8,39%","9,57%","9,04%","10,91%","12,20%","12,86%","13,43%","11,23%","14,73%","14,87%","9,89%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,36","0,36","0,27","0,43","0,50","0,53","0,56","0,54","0,60","0,64","0,68","0,77","0,78","0,73","0,74","0,66"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"24,03%","24,03%","24,03%","19,68%","21,28%","21,24%","17,63%","13,85%","8,75%","9,48%","16,41%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"25,03%","25,03%","29,54%","37,93%","21,10%","15,22%","11,39%","15,98%","7,01%","9,48%","30,32%",-%,-%,-%,-%,-%
