Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-187,83","-171,46","51,26","-7.510,49","-15,71",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"1,61","1,47",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,33","1,22","1,79","1,65","3,78",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"14,33","8,15",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"23,77","22,95","29,10","10,45","-23,21",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"13,93","12,77",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"11,27","10,29","28,28","16,38","-23,64",-,-,-
INDICADORES DE VALUATION,VPA,"21,57","21,61","21,09","20,28","9,84",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,36","0,33","0,96","1,25","1,93",-,-,-
INDICADORES DE VALUATION,LPA,"-0,15","-0,15","0,74","0,00","-2,37",-,-,-
INDICADORES DE VALUATION,P/SR,"1,64","1,50","4,45","9,34","19,94",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"119,85","109,41","11,29","3,17","6,20",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,41","-0,38","-1,20","-2,48","-3,05",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,50","1,50","0,05","-0,60","-0,07","-0,27","-0,32","-0,52"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"0,40","-4,62",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"12,66","12,66","0,81","-5,93","0,42","4,16","-3,25","2,00"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,27","0,27","0,54","0,75","0,51","0,60","0,60","0,51"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,73","0,73","0,46","0,23","0,49","0,40","0,40","0,49"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,02","1,02","1,76","4,79","6,74","2,71","3,14","5,46"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"31,72%","31,72%","51,49%","56,10%","47,99%","50,52%","65,45%","66,39%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,"31,95%","73,15%",-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"14,54%","14,54%","15,74%","57,03%","-84,38%","-47,16%","75,48%","-172,23%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-0,87%","-0,87%","8,68%","-0,12%","-126,92%","-98,66%","-34,93%","-151,16%"
INDICADORES DE RENTABILIDADE,ROE,"-0,71%","-0,71%","3,49%","-0,02%","-24,07%","-13,50%","-4,60%","-22,68%"
INDICADORES DE RENTABILIDADE,ROA,"-0,19%","-0,19%","1,88%","-0,02%","-12,29%","-8,06%","-2,76%","-11,62%"
INDICADORES DE RENTABILIDADE,ROIC,"3,11%","3,11%","-1,31%","8,39%","-11,55%","-8,07%","8,57%","-28,16%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,22","0,22","0,22","0,13","0,10","0,08","0,08","0,08"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"118,19%","118,19%","118,19%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%
