Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"5,68%","5,16%","7,95%","9,46%","6,26%","4,22%","4,13%","1,25%",-%,-%,-%,-%,"2,59%","5,59%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"11,38","12,95","7,37","7,22","12,53","11,32","12,72","13,51","15,23","7,45","477,01","487,35","544,79","385,68",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,28","-0,32",-,-,-,-,"0,31","0,62","-0,61","0,10","-292,09","110,92","-18,68",-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,94","1,07","0,96","1,03","1,98","2,66","1,76","1,39","1,33","0,92","34,30","34,28","37,86","38,26",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,"7,53",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"17,53","19,96","5,40","4,54","17,39","8,34","10,06","8,31","6,82","-22,67","416,80","694,16","545,55","340,20",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,-,"7,53",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"17,53","19,96","5,40","4,54","17,39","8,34","10,06","8,31","6,82","-22,67","416,80","694,16","545,55","340,20",-,-,-
INDICADORES DE VALUATION,VPA,"30,24","30,24","29,39","29,08","22,64","18,59","24,27","22,91","22,24","17,47","0,39","0,41","0,40","0,39",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,09","0,11","0,11","0,11","0,17","0,22","0,22","0,19","0,18","0,12","5,16","6,16","7,07","7,46",-,-,-
INDICADORES DE VALUATION,LPA,"2,49","2,49","3,82","4,15","3,58","4,38","3,36","2,36","1,94","2,15","0,03","0,03","0,03","0,04",-,-,-
INDICADORES DE VALUATION,P/SR,"1,06","1,21","0,92","1,44","2,68","2,55","2,27","1,69","1,45","1,04","45,58","54,46","56,74","57,72",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,-,-,"-0,12","-0,25","-0,35","-2,07",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,10","-0,11","-0,11","-0,13","-0,20","-0,56","-0,23","-0,22","-0,21","-0,14","-5,78","-6,95","-8,13","-8,94",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,10","0,10","0,10","0,11","0,09","0,13","0,13","0,13","0,13","0,13","0,15","0,18","0,19","0,19","0,20","0,22","0,17"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,90","0,90","0,82","0,89","0,91","0,87","0,87","0,87","0,87","0,87","0,85","0,82","0,81","0,81","0,80","0,78","0,83"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,-,-,"0,44","0,23","0,26","0,03",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE EFICIÊNCIA,M. BRUTA,"16,51%","16,51%","41,23%","65,80%","70,80%","60,85%","59,48%","48,93%","39,65%","44,85%","46,21%","55,60%","60,00%","53,75%","58,90%","56,34%","48,12%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,-%,-%,-%,"33,86%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"6,05%","6,05%","16,99%","31,74%","15,39%","30,58%","22,57%","20,32%","21,24%","-4,60%","10,93%","7,85%","10,40%","16,97%","24,44%","20,68%","10,72%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"9,32%","9,32%","12,44%","19,95%","21,38%","22,52%","17,85%","12,50%","9,51%","14,00%","9,55%","11,17%","10,41%","14,96%","18,05%","14,00%","10,01%"
INDICADORES DE RENTABILIDADE,ROE,"8,25%","8,25%","13,01%","14,27%","15,81%","16,98%","13,83%","10,30%","8,72%","12,32%","7,19%","7,03%","6,74%","9,92%","10,06%","7,95%","4,77%"
INDICADORES DE RENTABILIDADE,ROA,"0,83%","0,83%","1,35%","1,59%","1,36%","2,15%","1,74%","1,38%","1,16%","1,62%","1,08%","1,26%","1,30%","1,93%","1,97%","1,74%","0,81%"
INDICADORES DE RENTABILIDADE,ROIC,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,09","0,09","0,11","0,08","0,06","0,10","0,10","0,11","0,12","0,12","0,11","0,11","0,12","0,13","0,11","0,12","0,08"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"10,04%","10,04%","10,04%","0,22%","-2,12%","4,33%","6,59%","6,29%","8,33%","11,30%","8,41%","16,60%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"0,94%","0,94%","9,95%","16,23%","6,52%","23,85%","17,06%","10,23%","-1,07%","5,79%","0,44%","19,20%",-%,-%,-%,-%,-%
