Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"1,67%","1,69%","1,65%","0,99%","3,10%","1,91%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"17,50","17,29","12,52","11,91","31,21","10,84",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-7,96","-7,86",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,76","1,74",-,"1,10","1,33","1,90",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,59","8,51","7,68","6,62","6,71",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"12,99","12,87","11,73","10,26","9,76","8,09",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"6,57","6,49","5,51","4,32","4,65",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"9,94","9,81","8,41","6,70","6,76","6,47",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"43,30","43,30","0,00","36,48","33,35","31,90",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,88","0,87","0,68","0,52","0,60","0,90",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"4,36","4,36","4,57","3,37","1,42","5,59",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/SR,"2,15","2,13","1,77","1,41","1,71","2,28",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-4.164,81","-4.114,05",-,"19,48","56,18","54,05",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,00","-0,99",-,"-0,59","-0,69","54,05",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,54","0,54","0,56","0,58","0,59","0,51","0,52","0,56","0,65","0,84","0,68","0,59","0,61","0,61","0,65","0,69","0,85"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,02","2,02","2,17","2,29","2,06","1,47",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,05","3,05","3,32","3,56","2,99","1,92","1,96","2,48","2,94","3,77","4,74","2,44","2,51","2,74","2,35","2,73","2,94"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,50","0,50","0,48","0,47","0,45","0,47","0,45","0,44","0,42","0,41","0,44","0,46","0,44","0,42","0,41","0,42","0,39"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,50","0,50","0,52","0,53","0,55","0,53","0,55","0,56","0,58","0,59","0,56","0,54","0,56","0,58","0,59","0,58","0,61"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,00","1,00","1,09","1,28","1,09","0,76","1,04","0,96",-,-,-,-,-,"0,94","1,02","0,74","0,70"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"35,05%","35,05%","34,93%","34,33%","37,18%","43,63%","43,51%","39,90%","36,07%","29,46%","31,91%","39,76%","39,93%","39,34%","43,73%","40,70%","42,60%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"32,76%","32,76%","32,17%","32,58%","36,69%","41,66%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"21,66%","21,66%","21,06%","21,02%","25,24%","31,76%","32,18%","27,12%","24,33%","25,99%","17,04%","27,74%","26,48%","23,68%","28,95%","24,71%","27,16%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"12,29%","12,29%","14,15%","11,83%","5,47%","18,73%","17,63%","17,25%","20,90%","4,58%","8,05%","17,00%","17,81%","12,31%","17,66%","17,57%","11,05%"
INDICADORES DE RENTABILIDADE,ROE,"10,07%","10,07%","11,42%","9,25%","4,27%","15,56%","14,50%","14,39%","19,11%","3,91%","6,79%","14,88%","16,32%","11,60%","16,84%","17,87%","11,78%"
INDICADORES DE RENTABILIDADE,ROA,"5,05%","5,05%","5,46%","4,34%","1,93%","7,25%","6,51%","6,37%","8,02%","1,59%","2,97%","6,80%","7,17%","4,85%","6,98%","7,45%","4,61%"
INDICADORES DE RENTABILIDADE,ROIC,"8,62%","8,62%","7,55%","7,58%","10,34%","12,62%","12,53%","10,05%","8,21%","11,15%","6,39%","10,75%","10,62%","9,70%","11,20%","10,12%","12,94%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,41","0,41","0,39","0,37","0,35","0,39","0,37","0,37","0,38","0,35","0,37","0,40","0,40","0,39","0,40","0,42","0,42"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"8,59%","8,59%","8,59%","6,69%","8,73%","9,91%","7,29%","6,35%","7,24%","4,88%","5,50%","7,70%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"3,41%","3,41%","4,38%","-4,79%","12,66%","30,11%","8,07%","5,67%","19,22%","-19,94%","-9,75%","17,39%",-%,-%,-%,-%,-%
