Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"7,13%","6,90%","5,91%","2,36%","3,59%","3,82%","5,10%","8,31%","4,14%","1,70%","2,75%","0,76%","3,20%","1,03%",-%,-%
INDICADORES DE VALUATION,P/L,"7,32","7,26","7,86","8,19","10,71","15,17","10,46","7,40","47,79","13,28","20,54","21,11","51,52","18,77",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,53","-0,52",-,-,-,-,"1,50","0,01","-0,63","0,17","-0,71","0,14","-0,97",-,-,-
INDICADORES DE VALUATION,P/VP,"1,62","1,61","2,17","2,47","1,78","1,70","1,54","1,05","0,58","0,74","0,63","1,00","1,01","0,80",-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"4,54","5,41","6,71","8,58",-,-,"9,75","7,15","8,10","10,88","10,35","6,16",-,-
INDICADORES DE VALUATION,EV/EBIT,"5,00","4,97","4,86","5,82","7,74","10,21","7,53","5,86","18,96","9,82","12,34","18,57","18,03","7,95",-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"3,71","4,22","5,81","7,11",-,-,"6,67","4,15","4,80","7,85","7,76","4,62",-,-
INDICADORES DE VALUATION,P/EBIT,"3,56","3,53","3,98","4,54","6,70","8,46","6,06","4,44","12,97","5,70","7,31","13,41","13,53","5,97",-,-
INDICADORES DE VALUATION,VPA,"11,72","11,72","21,65","18,25","15,43","14,61","27,26","25,41","24,78","22,30","22,28","20,31","19,69","19,42",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,51","0,50","0,67","0,68","0,61","0,68","0,69","0,50","0,26","0,31","0,31","0,47","0,53","0,42",-,-
INDICADORES DE VALUATION,LPA,"2,59","2,59","5,97","5,50","2,56","1,63","4,00","3,60","0,30","1,24","0,69","0,97","0,39","0,83",-,-
INDICADORES DE VALUATION,P/SR,"0,87","0,87","1,04","1,38","1,35","1,55","1,41","1,19","0,86","0,92","0,93","1,71","1,75","1,52",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,14","2,12","4,08","6,81","2,81","4,51","5,77","4,48","2,90","3,79","5,16","7,82","7,15","9,04",-,-
