Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"4,50%","4,24%","4,27%","6,77%","1,98%","2,77%","2,82%","1,45%","2,52%","1,31%","0,99%","0,93%","1,15%","1,60%",-%,-%
INDICADORES DE VALUATION,P/L,"8,01","8,51","9,24","8,23","10,45","13,51","21,08","14,29","7,79","25,08","14,32","24,02","43,37","14,95",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,80","-0,84",-,-,-,-,"-0,58","0,20","0,21","-0,91","0,13","0,28","-1,02",-,-,-
INDICADORES DE VALUATION,P/VP,"1,65","1,76","1,62","2,52","2,89","2,34","1,98","2,08","0,73","2,09","1,82","1,56","1,53","0,92",-,-
INDICADORES DE VALUATION,EV/EBITDA,"3,43","3,57","4,87","5,28","6,43","6,07",-,-,-,-,-,"12,41","12,05","6,35",-,-
INDICADORES DE VALUATION,EV/EBIT,"6,92","7,19","7,37","6,97","9,19","9,32","13,01","11,97","7,09","15,22","11,28","18,83","22,28","11,33",-,-
INDICADORES DE VALUATION,P/EBITDA,"2,05","2,18","2,98","3,83","4,37","4,74",-,-,-,-,-,"8,76","9,56","5,05",-,-
INDICADORES DE VALUATION,P/EBIT,"4,14","4,40","4,52","5,05","6,25","7,28","9,49","8,79","3,30","10,66","8,99","13,30","17,68","9,01",-,-
INDICADORES DE VALUATION,VPA,"16,70","16,70","16,35","13,68","9,45","10,15","9,19","9,27","26,66","21,93","19,88","18,40","18,25","18,20",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,52","0,55","0,50","0,85","0,80","0,75","0,70","0,76","0,29","0,73","0,60","0,65","0,58","0,39",-,-
INDICADORES DE VALUATION,LPA,"3,45","3,45","2,87","4,18","2,62","1,76","0,86","1,35","2,50","1,83","2,53","1,19","0,65","1,12",-,-
INDICADORES DE VALUATION,P/SR,"1,57","1,67","1,42","2,13","2,25","2,34","1,97","2,04","0,85","2,22","2,14","2,11","2,45","1,64",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,18","3,38","2,79","4,80","5,54","3,59","3,03","4,72","2,47","9,49","11,22","16,79","5,85","4,91",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,74","-0,79","-0,75","-1,25","-1,12","-1,12","-1,09","-1,17","-0,41","-0,97","-0,79","-0,82","-0,76","-0,50",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,11","1,11","1,11","1,16","1,36","0,71","0,75","0,75","0,96","0,85","0,50","0,64","0,41","0,25","0,43","0,53"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,39","1,39","1,88","1,45","2,06","1,33",-,-,-,-,-,"3,64","2,48","1,30","2,17","3,32"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,79","2,79","2,85","1,91","2,94","2,04","3,53","3,19","3,79","4,56","2,28","5,53","4,59","2,32","3,50","7,29"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,31","0,31","0,31","0,32","0,28","0,35","0,36","0,39","0,36","0,36","0,41","0,37","0,42","0,48","0,46","0,42"
