Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"3,42%","3,82%","8,44%","4,04%","0,33%","0,05%","0,07%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"24,85","20,13","15,71","21,64","-329,05","354,95","946,13","-424,36","-57,26",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-18,84","-15,26",-,-,-,-,"-6,07","5,24","-2,54",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"4,56","3,69","3,22","2,54","2,16","4,04","2,10","1,70","1,15",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"11,79","9,51","7,98","8,57","18,36","24,67","14,73","13,49","10,02",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"15,90","12,83","10,73","12,15","65,36","63,60","42,72","70,29","50,76",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"11,96","9,69","8,33","9,75","21,37","24,62","14,87","13,72","9,80",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"16,14","13,07","11,19","13,82","76,06","63,47","43,12","71,48","49,60",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"2,54","2,54","2,42","2,53","2,43","2,03","2,01","2,00","2,09","2,11","2,15","2,18","2,06","1,96",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"2,18","1,77","1,55","1,17","1,07","1,71","0,99","0,82","0,84",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"0,47","0,47","0,50","0,30","-0,02","0,02","0,00","-0,01","-0,04","-0,03","0,14","0,38","0,41","0,38",-,-,-
INDICADORES DE VALUATION,P/SR,"5,16","4,18","3,49","3,62","4,87","5,61","3,06","2,74","1,93",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"43,84","35,51","27,27","7,19","4,80","15,06","25,60","36,96","46,92",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,69","-2,18","-1,93","-1,62","-1,51","-2,10","-1,15","-0,96","-1,01",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,07","-0,07","-0,13","-0,30","-0,30","0,01","-0,02","-0,03","0,03","0,08","0,10","0,14","0,22","0,32","0,24","0,28","0,07"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,18","-0,18","-0,35","-1,18","-3,01","0,05","-0,14","-0,23","0,23","0,52",-,"0,38","0,54","0,90","0,94","1,47","0,31"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,24","-0,24","-0,46","-1,67","-10,70","0,13","-0,40","-1,19","1,16","3,08","0,91","0,51","0,70","1,18","1,40","2,95","0,74"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,48","0,48","0,48","0,47","0,50","0,42","0,47","0,48","0,51","0,52","0,66","0,66","0,63","0,53","0,60","0,55","0,71"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,52","0,52","0,52","0,43","0,50","0,58","0,53","0,52","0,49","0,48","0,34","0,34","0,37","0,47","0,40","0,45","0,29"
