Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"2,00%",-%,"6,49%",-%,-%,"1,12%","0,50%","2,68%",-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"4,46","4,32","2,81","9,49","-7,43","-19,17","132,28","11,43",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,68","-0,66",-,-,-,-,"-1,61","1,68",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,82","1,76","1,99","5,43","11,02","3,01","3,51","1,78",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"5,64","5,54","4,20","5,58","9,49","10,17",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"8,20","8,05","5,54","7,72","17,00","41,20","10,46","9,25",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"3,19","3,10","2,24","3,25","5,27","5,07",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"4,64","4,50","2,96","4,50","9,44","20,55","8,41","6,34",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"32,02","31,54","24,29","11,07","5,31","13,20","10,86","10,51","9,16","8,30","9,31","9,65","26,91","23,66",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,54","0,52","0,49","0,69","0,78","0,55","0,78","0,72",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"13,06","12,86","17,18","6,34","-7,88","-2,07","0,29","1,63","1,53","-0,84","-0,24","-0,20","-0,45","0,07",-,-
INDICADORES DE VALUATION,P/SR,"1,73","1,68","1,32","2,00","2,62","2,08","3,13","1,96",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,08","2,99","2,90","3,63","8,14","7,29","1,70","6,69",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,73","-0,71","-0,68","-0,96","-0,95","-0,68","-1,82","-0,95",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,39","1,39","1,74","3,88","8,83","3,02","0,85","0,82","1,02","1,36","0,98","0,86","0,58","0,57","0,40","0,67"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,44","2,44","1,96","2,33","4,22","5,10",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,55","3,55","2,59","3,22","7,56","20,65","2,05","2,91","7,83","4,06","8,19","9,42","11,72","8,09","2,92","8,00"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,29","0,29","0,25","0,13","0,07","0,18","0,22","0,41","0,35","0,33","0,37","0,39","0,43","0,45","0,45","0,45"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,70","0,70","0,75","0,87","0,93","0,82","0,78","0,59","0,65","0,67","0,63","0,61","0,57","0,55","0,55","0,55"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,82","2,82","2,56","2,95","2,20","1,65","5,08","1,83",-,-,-,-,"2,34","1,71","2,55","1,96"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"42,65%","42,65%","50,19%","49,68%","37,73%","20,26%","48,51%","38,70%","33,50%","39,51%","26,28%","26,34%","22,43%","22,36%","30,25%","22,10%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"54,38%","54,38%","58,93%","61,43%","49,65%","40,94%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"37,39%","37,39%","44,60%","44,38%","27,72%","10,10%","37,25%","30,97%","13,33%","30,03%","16,93%","17,15%","10,48%","13,95%","25,98%","16,58%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"38,93%","38,93%","46,92%","21,06%","-35,21%","-10,83%","2,37%","17,18%","17,12%","-9,05%","-3,60%","-3,88%","-3,51%","0,62%","17,04%","23,95%"
INDICADORES DE RENTABILIDADE,ROE,"40,79%","40,79%","70,72%","57,22%","-148,30%","-15,68%","2,65%","15,55%","16,68%","-10,07%","-2,54%","-2,06%","-1,66%","0,31%","8,90%","12,04%"
INDICADORES DE RENTABILIDADE,ROA,"12,03%","12,03%","17,55%","7,25%","-10,54%","-2,88%","0,59%","6,34%","5,76%","-3,27%","-0,93%","-0,81%","-0,72%","0,14%","4,05%","5,37%"
INDICADORES DE RENTABILIDADE,ROIC,"9,58%","9,58%","15,74%","18,97%","1,89%","1,65%","10,16%","11,87%","2,45%","10,94%","4,68%","3,89%","1,91%","2,98%","6,60%","1,70%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,31","0,31","0,37","0,34","0,30","0,27","0,25","0,37","0,34","0,36","0,26","0,21","0,20","0,22","0,24","0,22"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"36,49%","36,49%","36,49%","32,90%","24,40%","29,06%","18,76%","15,17%","15,31%","17,77%","12,94%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"56,62%","56,62%","66,86%","38,51%",-%,-%,-%,-%,"124,17%",-%,-%,-%,-%,-%,-%,-%
