Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"6,30%","7,59%","14,00%","12,38%","9,63%","6,06%","11,81%","8,27%","13,04%","11,26%","15,57%","12,11%","7,84%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"10,71","11,55","8,24","5,66","5,07","10,72","7,59","11,34","8,29","6,35","7,17","7,02","3,25",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,28","-0,30",-,-,-,-,"0,12","-0,46","-1,59","12,54","5,34","0,14","0,17",-,-,-
INDICADORES DE VALUATION,P/VP,"1,84","1,99","1,82","1,87","1,91","2,18","1,78","1,69","1,66","1,32","1,54","1,46","0,47",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"13,28","13,94","10,05","7,10","7,11","14,48","10,05","13,52","9,08","7,04","8,16","9,19","4,17",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"11,16","11,72","7,79","5,52","5,27","11,39","7,98","11,12","7,54","6,06","6,75","7,96","4,00",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"7,90","8,53","6,31","4,70","4,85","9,72","7,16","9,65","6,27","4,36","5,18","5,48","1,90",-,-,-
INDICADORES DE VALUATION,P/EBIT,"6,64","7,17","4,89","3,65","3,59","7,65","5,69","7,94","5,21","3,75","4,28","4,75","1,82",-,-,-
INDICADORES DE VALUATION,VPA,"19,31","19,31","19,07","19,40","17,49","14,30","13,27","12,62","12,50","12,71","12,26","12,50","46,65","25,64",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,63","0,68","0,69","0,79","0,81","0,96","0,94","0,91","0,85","0,65","0,75","0,68","0,20",-,-,-
INDICADORES DE VALUATION,LPA,"3,32","3,32","4,21","6,43","6,57","2,91","3,11","1,88","2,50","2,64","2,63","2,59","6,71","5,64",-,-
INDICADORES DE VALUATION,P/SR,"4,77","5,15","4,56","3,61","3,22","5,98","4,97","6,83","5,14","3,74","4,34","4,33","1,70",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"4,60","4,96","5,78","17,45","7,56","4,18","6,35","5,65","8,11","5,37","6,27","9,08","0,61",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,81","-0,87","-0,84","-0,91","-0,98","-1,40","-1,22","-1,20","-1,11","-0,85","-0,94","-0,85","-0,33",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,26","1,26","1,08","0,96","0,89","1,07","0,72","0,68","0,74","0,81","0,89","0,99","0,56","1,26","0,45","0,65"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"5,41","5,41","3,74","2,41","2,26","4,76","2,89","3,87","2,80","2,68","2,99","3,71","2,27","3,17","1,65","2,29"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,55","4,55","2,90","1,87","1,68","3,74","2,29","3,18","2,33","2,30","2,47","3,21","2,18","3,17","1,65","2,30"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,34","0,34","0,38","0,42","0,43","0,44","0,53","0,54","0,51","0,49","0,49","0,47","0,43","0,35","0,55","0,54"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,66","0,66","0,62","0,58","0,57","0,56","0,47","0,46","0,49","0,51","0,51","0,53","0,57","0,65","0,45","0,46"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,71","2,71","3,02","1,51","2,80","3,58","2,98","3,02","1,82","2,06","2,38",-,-,"1,03","3,50","1,18"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"68,87%","68,87%","80,95%","81,31%","70,57%","68,02%","77,84%","81,64%","89,27%","92,32%","88,58%","84,90%","91,53%","93,57%","91,16%","75,38%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"60,39%","60,39%","72,30%","76,84%","66,53%","61,57%","69,41%","70,71%","81,86%","85,73%","83,83%","79,00%","89,56%","89,52%","85,36%","71,67%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"71,85%","71,85%","93,30%","98,94%","89,71%","78,27%","87,44%","86,00%","98,57%","99,68%","101,32%","91,25%","93,28%","89,52%","85,36%","71,29%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"44,57%","44,57%","55,39%","63,76%","63,54%","55,82%","65,51%","60,19%","61,97%","58,96%","60,49%","61,67%","52,29%","49,68%","53,67%","40,23%"
INDICADORES DE RENTABILIDADE,ROE,"17,20%","17,20%","22,06%","33,12%","37,55%","20,33%","23,43%","14,91%","20,01%","20,78%","21,42%","20,74%","14,38%","21,99%","17,09%","15,87%"
INDICADORES DE RENTABILIDADE,ROA,"5,89%","5,89%","8,37%","13,93%","16,04%","8,92%","12,43%","8,05%","10,25%","10,26%","10,45%","9,75%","6,11%","7,63%","9,37%","8,59%"
INDICADORES DE RENTABILIDADE,ROIC,"10,64%","10,64%","14,85%","22,42%","22,30%","12,28%","16,29%","11,84%","16,62%","17,11%","16,34%","14,56%","9,43%","12,08%","13,66%","11,82%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,13","0,13","0,15","0,22","0,25","0,16","0,19","0,13","0,17","0,17","0,17","0,16","0,12","0,15","0,17","0,21"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"19,43%","19,43%","19,43%","20,07%","18,22%","3,71%","2,46%","-0,90%","6,88%","14,07%","11,43%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"12,03%","12,03%","17,46%","20,76%","20,00%","2,06%","3,71%","1,93%","11,72%","16,23%","20,90%",-%,-%,-%,-%,-%
