Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"1,06%","1,63%","1,98%","1,59%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-34,18","-41,79","-0,80","-9,11","15,73","11,95","8,66","10,12",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,37","0,45",-,-,-,-,"0,10","0,11",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,21","2,70","0,62","1,45","2,08","2,33","1,45","0,93",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,"70,42","-4,87","-45,24","10,19","9,15",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"104,00","121,76","-3,95","-22,95","11,34","10,15","6,48","6,90",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,"49,77","-1,72","-38,01","10,69","9,77",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"70,38","86,05","-1,39","-19,28","11,90","10,84","7,90","8,75",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"5,50","5,50","6,83","11,53","14,54","12,94","22,16","21,46","1,66","1,72","1,67","1,78","2,92","4,64",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,36","0,44","0,10","0,39","0,74","0,91","0,66","0,51",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"-0,35","-0,35","-5,25","-1,84","1,92","2,53","3,71","1,98","0,09","0,05","-0,22","-0,14","-0,20","-1,47",-,-,-
INDICADORES DE VALUATION,P/SR,"2,29","2,80","0,18","0,69","1,38","1,62","1,03","0,80",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"7,56","9,24","0,83","1,14","2,04","1,63","1,30","1,07",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,62","-0,76","-0,21","-1,07","-2,13","-3,24","-2,08","-1,49",-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,12","1,13","1,13","0,28","-0,10","-0,15","-0,26","-0,20","-0,08","0,01","-0,05","-0,06","0,08","0,05","0,17","0,31","-0,07"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,"20,65","-3,15","-7,23","-0,50","-0,62",-,-,-,-,"0,59","1,14","-1,60",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"35,71","35,71","-2,56","-3,67","-0,56","-0,69","-1,43","-1,84","-1,00","0,46","0,50","0,96","-1,35","-0,17","3,06","3,95","1,12"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,16","0,16","0,17","0,27","0,36","0,39","0,46","0,54","0,56","0,57","0,50","0,48","0,55","0,60","0,57","0,48","0,69"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,84","0,84","0,83","0,73","0,64","0,61","0,54","0,45","0,42","0,41","0,49","0,51","0,44","0,40","0,43","0,52","0,31"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,12","1,12","1,36","2,20","2,27","4,33","3,94","3,48","3,44","2,72","2,35","2,33","4,25","2,36","5,58","3,97","2,99"
