Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"4,86%","3,56%","4,66%","3,29%","3,75%","1,97%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"19,75","18,93","17,97","10,76","19,24","11,37",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"2,92","2,80",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,77","1,70","1,18",-,"1,53","1,74",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,07","3,90","3,03","3,37","4,90",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"11,40","10,93","9,57","8,48","14,54","8,89",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"4,03","3,86","3,01","3,37","4,25",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"11,30","10,83","9,50","8,48","12,60","9,32",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"10,56","10,56","10,49","0,00","9,58","8,99",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,81","0,78","0,53","0,64","0,85","0,98",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"0,95","0,95","0,69","1,22","0,76","1,38",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/SR,"1,94","1,86","1,39","1,76","2,05","2,20",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-15,72","-15,06","-10,90",-,"16,81",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,00","-0,96","-0,65",-,"-1,14",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,02","0,02","0,01",-,"0,24","0,30","0,07","0,14","0,15","0,10","0,08","-0,03","-0,01","0,03","0,10","0,20","0,22"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,03","0,03","0,02","0,00","0,65","0,69",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,10","0,10","0,07","0,00","1,94","1,48","0,60","1,33","1,78","0,51","0,49","-0,17","-0,07","0,21","0,82","3,04","3,40"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,46","0,46","0,45","0,00","0,56","0,56","0,62","0,56","0,50","0,48","0,47","0,52","0,53","0,55","0,53","0,48","0,48"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,54","0,54","0,55","0,00","0,44","0,44","0,38","0,44","0,50","0,52","0,53","0,48","0,47","0,45","0,47","0,52","0,52"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,79","0,79","0,79",-,"1,25","1,04","0,85","1,05","1,39","1,31","1,16","1,33","1,35","1,21","1,13","1,13","0,96"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"51,02%","51,02%","50,51%","53,25%","53,69%","57,22%","54,65%","50,71%","48,99%","51,54%","48,29%","45,68%","47,34%","50,00%","49,60%","49,29%","46,27%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"48,04%","48,04%","46,39%","52,32%","48,31%","55,50%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"17,14%","17,14%","14,68%","20,80%","16,30%","25,98%","14,24%","11,91%","9,12%","18,97%","12,73%","12,24%","12,38%","12,10%","8,30%","4,21%","3,73%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"9,81%","9,81%","7,76%","16,38%","10,68%","20,84%","14,99%","7,60%","4,81%","12,17%","7,94%","7,56%","7,72%","7,48%","15,30%","2,59%","1,37%"
INDICADORES DE RENTABILIDADE,ROE,"8,97%","8,97%","6,58%",-%,"7,95%","16,15%","12,86%","6,80%","4,37%","12,32%","10,11%","10,32%","10,47%","9,86%","21,47%","3,98%","2,34%"
INDICADORES DE RENTABILIDADE,ROA,"4,10%","4,10%","2,96%","5,94%","4,43%","8,98%","7,96%","3,79%","2,17%","5,87%","4,74%","5,35%","5,55%","5,43%","11,40%","1,90%","1,12%"
INDICADORES DE RENTABILIDADE,ROIC,"12,16%","12,16%","10,24%",-%,"7,97%","11,24%","7,58%","7,08%","4,59%","9,24%","8,41%","9,29%","8,94%","9,13%","-0,42%","4,06%","3,91%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,42","0,42","0,38","0,36","0,41","0,43","0,53","0,50","0,45","0,48","0,60","0,71","0,72","0,73","0,75","0,73","0,82"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"5,81%","5,81%","5,81%","2,95%","0,15%","-2,28%","-3,14%","-2,86%","-1,78%","3,47%","8,19%","8,67%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"13,18%","13,18%","6,24%","31,56%","-2,43%","18,52%","11,07%","-3,15%","-10,10%","-1,17%","35,32%","52,90%",-%,-%,-%,-%,-%
