Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"1,41%","0,68%","1,12%","1,08%","1,05%","0,65%","1,15%","1,18%","3,84%","3,67%","2,75%","1,97%","1,62%","6,40%",-%,-%
INDICADORES DE VALUATION,P/L,"25,16","27,19","34,22","47,97","56,27","50,96","75,52","53,25","26,08",-,"21,76","26,94","31,17","30,98",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,40","0,44",-,-,-,-,"-2,10","-1,36","-1,19",-,"1,20","3,63","1,38",-,-,-
INDICADORES DE VALUATION,P/VP,"4,08","4,41","3,96","4,18","6,37","4,32","3,49","3,93","3,26",-,"5,12","5,62","7,07","6,98",-,-
INDICADORES DE VALUATION,EV/EBITDA,"14,69","15,96","18,25","22,82","26,32","22,39","17,43","17,78","12,85",-,"12,81","14,59","16,62","17,01",-,-
INDICADORES DE VALUATION,EV/EBIT,"24,46","26,57","25,07","30,47","39,93","29,53","35,83","36,46","20,82",-,"16,09","18,37","21,17","23,21",-,-
INDICADORES DE VALUATION,P/EBITDA,"15,80","17,07","19,36","24,80","27,80","24,92","17,33","16,81","11,58",-,"13,12","14,93","17,08","16,95",-,-
INDICADORES DE VALUATION,P/EBIT,"26,30","28,42","26,59","33,12","42,18","32,88","35,63","34,48","18,76",-,"16,48","18,79","21,75","23,13",-,-
INDICADORES DE VALUATION,VPA,"7,64","7,64","6,98","6,86","4,51","14,96","7,77","7,62","7,37",-,"6,83","6,58","5,71","4,77",-,-
INDICADORES DE VALUATION,P/ATIVO,"2,20","2,37","1,61","1,78","3,23","3,02","1,88","1,99","1,63",-,"2,67","3,24","4,55","3,91",-,-
INDICADORES DE VALUATION,LPA,"1,24","1,24","0,81","0,60","0,51","1,27","0,36","0,56","0,92",-,"1,61","1,37","1,30","1,07",-,-
INDICADORES DE VALUATION,P/SR,"4,55","4,92","4,49","5,94","6,39","4,69","1,94","2,22","1,82",-,"3,23","3,72","4,57","4,09",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"7,54","8,15","5,89","8,16","20,96","8,23","14,48","11,81","12,16",-,"7,37","10,44","15,71","17,11",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-3,92","-4,24","-3,89","-3,96","-7,17","-6,98","-3,28","-3,40","-2,67",-,"-5,79","-6,61","-9,56","-7,30",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,29","-0,29","-0,23","-0,33","-0,34","-0,44","0,02","0,23","0,36","0,26","-0,12","-0,13","-0,19","0,02","0,29","0,40"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-1,11","-1,11","-1,11","-1,98","-1,48","-2,54","0,10","0,97","1,27","0,97","-0,32","-0,34","-0,46","0,06","0,62","0,85"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-1,84","-1,84","-1,52","-2,65","-2,24","-3,34","0,20","1,98","2,06","1,41","-0,40","-0,43","-0,59","0,08","0,85","1,18"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,54","0,54","0,41","0,43","0,51","0,70","0,54","0,51","0,50","0,46","0,52","0,58","0,64","0,56","0,44","0,39"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,43","0,43","0,57","0,55","0,49","0,30","0,46","0,49","0,50","0,54","0,48","0,42","0,36","0,44","0,55","0,60"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,97","2,97","1,87","1,65","1,39","2,84","1,44","1,68","1,52","1,76","3,05","2,56","2,23","1,97","2,07","2,38"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"70,36%","70,36%","69,81%","69,14%","70,08%","67,41%","61,88%","61,23%","59,85%","62,99%","65,90%","66,10%","67,69%","67,08%","66,58%","67,68%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"28,81%","28,81%","23,22%","23,94%","23,00%","18,80%","11,18%","13,22%","15,75%","17,39%","24,60%","24,92%","26,74%","24,13%","25,64%","25,21%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"17,31%","17,31%","16,90%","17,93%","15,16%","14,25%","5,44%","6,45%","9,72%","11,96%","19,58%","19,79%","20,99%","17,68%","18,74%","18,14%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"18,09%","18,09%","13,13%","12,38%","11,36%","9,19%","2,57%","4,17%","6,99%","10,24%","14,84%","13,81%","14,65%","13,20%","12,24%","12,17%"
INDICADORES DE RENTABILIDADE,ROE,"16,23%","16,23%","11,56%","8,71%","11,33%","8,47%","4,63%","7,37%","12,50%","15,80%","23,55%","20,84%","22,69%","22,52%","22,29%","22,91%"
INDICADORES DE RENTABILIDADE,ROA,"8,73%","8,73%","4,69%","3,71%","5,73%","5,93%","2,49%","3,73%","6,25%","7,34%","12,27%","12,04%","14,58%","12,62%","9,76%","8,91%"
INDICADORES DE RENTABILIDADE,ROIC,"8,68%","8,68%","7,88%","7,09%","10,50%","8,71%","5,67%","6,86%","10,09%","8,17%","14,57%","15,25%","18,58%","17,27%","17,84%","15,67%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,48","0,48","0,36","0,30","0,50","0,65","0,97","0,89","0,89","0,72","0,83","0,87","1,00","0,96","0,80","0,73"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"11,23%","11,23%","11,23%","6,40%","6,34%","5,18%","7,56%","9,51%","11,29%","11,06%","12,38%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"52,41%","52,41%","39,89%","19,27%","8,57%","-4,42%","-23,17%","-14,80%","-2,00%","7,19%","16,93%",-%,-%,-%,-%,-%
