Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"8,98%","8,32%","4,62%","14,76%","6,26%","6,69%","18,17%","4,54%","2,32%","4,96%","3,41%","4,87%","8,47%","10,19%",-%,-%
INDICADORES DE VALUATION,P/L,"6,85","7,39","6,70","5,31","5,45","8,44","6,06","8,07","2,12","14,61","16,75","128,74","5,97","9,62",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,80","-0,87",-,-,-,-,"0,16","-0,11","0,00","0,44","0,02","-1,34","-0,76",-,-,-
INDICADORES DE VALUATION,P/VP,"0,90","0,97","0,94","1,11","1,33","1,26","1,03","1,00","1,03","1,38","1,23","0,84","0,99","1,94",-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,05","8,45","7,81","6,08","5,22","7,69",-,"5,75",-,"12,36",-,-,"6,74","7,83",-,-
INDICADORES DE VALUATION,EV/EBIT,"7,13","7,49","6,73","5,40","4,68","7,17","5,57","5,77","1,45","12,36",-,-,"6,77","7,83",-,-
INDICADORES DE VALUATION,P/EBITDA,"5,06","5,46","5,04","4,06","4,61","6,82",-,"5,36",-,"11,61","13,86","-20,33","3,75","6,20",-,-
INDICADORES DE VALUATION,P/EBIT,"4,49","4,85","4,34","3,61","4,14","6,35","4,63","5,38","1,41","11,61","14,13","-19,62","3,77","6,20",-,-
INDICADORES DE VALUATION,VPA,"27,28","27,28","24,55","21,85","20,88","17,90","67,20","66,69","62,75","33,09","33,83","32,18","33,26","29,90",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,46","0,50","0,47","0,55","0,75","0,69","0,61","0,64","0,69","1,00","0,89","0,59","0,60","1,05",-,-
INDICADORES DE VALUATION,LPA,"3,59","3,59","3,43","4,58","5,10","2,68","11,42","8,29","30,59","3,13","2,48","0,21","5,53","6,03",-,-
INDICADORES DE VALUATION,P/SR,"2,81","3,03","2,78","2,89","4,96","4,50","3,58","4,08","1,34","5,73","5,74","4,19","2,50","3,04",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"5,83","6,29","4,49","6,36","4,43","4,48","5,01","5,94","9,66","15,47","6,48","4,95","3,30","-105,76",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,55","-0,60","-0,55","-0,63","-0,96","-0,89","-0,73","-0,75","-0,78","-1,14","-1,11","-0,76","-0,93","-1,34",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,40","0,40","0,42","0,44","0,15","0,05","0,21","0,12","0,07","0,12","0,14","0,13","0,64","0,56","0,29","0,22"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,26","2,26","2,26","1,60","0,51","0,29",-,"0,64",-,"1,02","1,55","-3,16","2,43","1,80","1,14",-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,00","2,00","1,95","1,42","0,46","0,27","0,94","0,65","0,09","1,02","1,58","-3,05","2,44","1,80","1,15","0,87"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,51","0,51","0,50","0,50","0,56","0,55","0,60","0,64","0,67","0,75","0,72","0,70","0,52","0,54","0,66","0,73"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,47","0,47","0,49","0,49","0,43","0,36","0,39","0,35","0,32","0,25","0,27","0,30","0,48","0,46","0,34","0,27"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,90","1,90","3,61","3,05","4,01","3,05","4,63","3,35","2,81",-,"3,14","2,09","2,22","1,33","1,96","2,03"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"59,76%","59,76%","60,17%","74,48%","69,27%","71,19%","77,23%","78,04%","93,58%","55,30%","50,89%","42,52%","69,08%","54,38%","57,97%","66,73%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"55,48%","55,48%","55,17%","71,22%","107,52%","66,00%",-%,"76,15%",-%,"49,33%","41,46%","-20,60%","66,58%","48,94%","51,07%",-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"62,57%","62,57%","64,04%","80,18%","119,77%","70,83%","77,21%","75,79%","94,96%","49,33%","40,65%","-21,35%","66,34%","48,94%","50,80%","54,11%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"41,02%","41,02%","41,50%","54,55%","90,94%","53,33%","59,09%","50,55%","63,35%","39,19%","34,30%","3,25%","41,86%","31,55%","36,00%","15,08%"
INDICADORES DE RENTABILIDADE,ROE,"13,14%","13,14%","13,98%","20,96%","24,44%","14,94%","17,00%","12,43%","48,75%","9,15%","7,32%","0,65%","16,61%","20,16%","17,80%","6,95%"
INDICADORES DE RENTABILIDADE,ROA,"6,72%","6,72%","7,02%","10,42%","13,67%","8,16%","10,15%","7,92%","32,74%","6,87%","5,30%","0,46%","8,58%","10,88%","11,72%","5,07%"
INDICADORES DE RENTABILIDADE,ROIC,"11,65%","11,65%","12,74%","16,52%","19,25%","11,52%","14,23%","11,05%","44,74%","8,21%","5,73%","-6,16%","11,26%","15,26%","15,30%","15,46%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,16","0,16","0,17","0,19","0,15","0,15","0,17","0,16","0,52","0,18","0,15","0,14","0,20","0,34","0,33","0,34"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"15,07%","15,07%","15,07%","-6,60%","23,49%","24,55%","26,55%","6,04%","21,83%","-10,62%","-12,49%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"11,59%","11,59%","10,62%","-9,35%","46,13%","36,05%","125,99%","10,11%","40,06%","-9,09%","3,14%",-%,-%,-%,-%,-%
