Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"0,86%","1,32%","4,62%","4,40%","1,01%","3,53%","2,74%","2,29%","2,34%","2,50%","2,76%","2,36%","2,20%","2,94%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"14,91","13,67","7,81","19,06","29,63","75,91","25,73","26,51","24,39","22,37","23,06","36,53","36,31","20,53",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,25","0,23",-,-,-,-,"-0,96","32,54","6,31","1,06","17,20","1,82","1,80",-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,54","2,33","1,20","1,61","2,78","3,00","3,13","4,51","4,47","4,23","3,72","6,87","6,19","3,14",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,04","7,52","4,85","11,92","13,81","18,24",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"9,53","8,91","6,33","16,87","21,48","30,37","20,17","16,98","14,07","13,23","14,42","22,58","23,43","13,96",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"6,51","5,97","3,22","6,47","9,62","13,22",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"7,72","7,07","4,20","9,16","14,97","22,01","15,71","14,45","12,23","11,40","12,61","20,93","21,55","12,00",-,-,-
INDICADORES DE VALUATION,VPA,"11,39","11,39","10,50","9,03","8,55","8,50","16,98","16,63","15,33","14,28","13,84","8,15","7,48","10,20",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,89","0,81","0,39","0,42","0,73","0,91","0,97","1,48","1,58","1,60","1,47","2,73","2,43","1,27",-,-,-
INDICADORES DE VALUATION,LPA,"1,94","1,94","1,61","0,76","0,80","0,34","2,07","2,83","2,81","2,70","2,23","1,53","1,27","1,56",-,-,-
INDICADORES DE VALUATION,P/SR,"0,25","0,23","0,10","0,15","0,33","0,32","0,33","0,52","0,49","0,44","0,42","0,73","0,69","0,36",-,-,-
