Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"3,10%","3,54%","8,79%","9,40%","0,30%","1,68%","0,52%",-%,-%,"2,11%",-%,-%,"0,68%","1,48%",-%,-%
INDICADORES DE VALUATION,P/L,"-36,59","-32,10","5,55","2,09","27,21","55,88","15,90","48,94","-1,53","-0,49","39,52","-101,68","-18,37","44,15",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,34","0,30",-,-,-,-,"0,08","-0,36","0,02","0,00","-0,21","1,27","0,05",-,-,-
INDICADORES DE VALUATION,P/VP,"0,57","0,50","0,39","0,87","1,23","0,85","0,81","0,83","0,08","0,12","0,31","0,86","0,78","0,60",-,-
INDICADORES DE VALUATION,EV/EBITDA,"35,32","31,63","2,88","1,43","5,13","7,90",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-22,33","-20,00","3,85","1,55","6,89","16,12","15,12","19,17","-29,45","-2,39","17,85","24,06","-54,79","25,11",-,-
INDICADORES DE VALUATION,P/EBITDA,"35,20","30,88","2,51","1,52","4,66","6,13",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-22,25","-19,52","3,36","1,65","6,25","12,51","10,11","12,90","-4,64","-0,43","7,24","20,55","-42,19","14,85",-,-
INDICADORES DE VALUATION,VPA,"18,71","18,71","18,48","17,36","11,86","11,21","11,39","10,99","53,99","13,23","16,49","16,48","16,38","17,05",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,33","0,29","0,22","0,48","0,61","0,45","0,44","0,44","0,04","0,06","0,17","0,46","0,40","0,31",-,-
INDICADORES DE VALUATION,LPA,"-0,29","-0,29","1,29","7,24","0,54","0,17","0,58","0,19","-2,67","-3,19","0,13","-0,14","-0,70","0,23",-,-
INDICADORES DE VALUATION,P/SR,"0,47","0,41","0,28","0,56","1,14","0,80","0,84","1,06","0,12","0,15","0,44","1,12","1,02","0,86",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,99","0,87","0,60","1,39","2,49","2,00","2,32","2,71","0,22","0,66","1,47","3,29","2,45","1,21",-,-
