Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"9,19%","7,87%","8,53%","18,79%","2,75%","2,65%","3,86%","3,29%","0,65%","7,49%","8,63%","5,06%","5,35%","7,31%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"6,32","7,37","4,43","3,30","17,30","-42,22","10,50","11,98","10,12","-1,55","123,17","1.664,73","22,93","5,60",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,11","-0,13",-,-,-,-,"0,23","0,37","-0,08","0,00","0,17","-16,84","-0,31",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,58","1,84","2,27","2,08","2,49","1,74","1,58","1,47","1,06","0,52","0,80","1,29","1,51","1,48",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,43","5,05","4,06","2,70","6,34","15,85",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"5,48","6,25","5,16","2,91","9,03","139,25","7,11","7,85","10,44","-5,83","8,81","7,42","18,25","4,79",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"3,79","4,42","3,70","2,63","6,23","14,32",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"4,69","5,47","4,70","2,83","8,88","125,75","6,24","6,11","6,50","-2,39","5,64","5,73","14,96","4,04",-,-,-
INDICADORES DE VALUATION,VPA,"41,90","41,90","39,15","37,49","35,16","30,56","32,25","27,41","24,26","25,01","27,29","27,65","27,93","26,74",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,67","0,79","0,94","0,80","0,97","0,76","0,79","0,64","0,42","0,20","0,38","0,66","0,85","0,89",-,-,-
INDICADORES DE VALUATION,LPA,"10,47","10,47","20,07","23,62","5,05","-1,26","4,86","3,36","2,54","-8,43","0,18","0,02","1,84","7,05",-,-,-
INDICADORES DE VALUATION,P/SR,"1,46","1,70","1,88","1,36","2,22","1,89","2,00","1,95","1,42","0,88","1,42","1,89","2,49","2,10",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"58,30","68,01","49,79","10,01","9,07","21,85","11,35","10,92","3,65","3,55","4,66","5,54","11,16","10,87",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,81","-0,94","-1,14","-1,07","-1,32","-0,94","-0,95","-0,80","-0,54","-0,24","-0,46","-0,82","-1,03","-1,07",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,26","0,26","0,22","0,05","0,04","0,19","0,22","0,42","0,64","0,75","0,45","0,38","0,33","0,27","0,27","0,30","0,22"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,63","0,63","0,36","0,07","0,11","1,54",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,78","0,78","0,46","0,07","0,15","13,49","0,87","1,74","3,94","-3,45","3,17","1,69","3,29","0,75","0,75","2,16","0,79"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,43","0,43","0,41","0,39","0,39","0,44","0,50","0,44","0,39","0,38","0,47","0,51","0,57","0,59","0,52","0,54","0,52"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,56","0,56","0,57","0,61","0,62","0,57","0,49","0,55","0,59","0,60","0,52","0,48","0,42","0,39","0,46","0,44","0,46"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,08","1,08","1,12","1,47","1,67","1,23","1,67","1,45","2,01","1,47","1,88","2,54","1,79","2,03","1,81","2,10","2,93"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"40,12%","40,12%","45,17%","60,05%","52,73%","43,60%","39,62%","38,03%","35,39%","19,57%","34,92%","48,26%","45,40%","59,19%","59,44%","42,78%","54,42%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"38,45%","38,45%","50,73%","51,84%","35,57%","13,24%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"31,07%","31,07%","39,88%","48,15%","24,97%","1,51%","32,10%","31,82%","21,89%","-36,67%","25,21%","32,95%","16,62%","52,09%","48,59%","27,56%","37,16%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"23,03%","23,03%","42,35%","41,30%","12,81%","-4,49%","19,08%","16,24%","14,07%","-56,64%","1,16%","0,11%","10,84%","37,62%","36,13%","21,31%","30,17%"
INDICADORES DE RENTABILIDADE,ROE,"24,99%","24,99%","51,27%","63,01%","14,38%","-4,13%","15,06%","12,26%","10,46%","-33,71%","0,65%","0,08%","6,49%","26,36%","26,82%","10,79%","22,09%"
INDICADORES DE RENTABILIDADE,ROA,"10,66%","10,66%","21,16%","24,29%","5,59%","-1,80%","7,51%","5,37%","4,13%","-12,79%","0,31%","0,04%","3,71%","15,64%","14,01%","5,82%","11,46%"
INDICADORES DE RENTABILIDADE,ROIC,"21,26%","21,26%","28,76%","42,35%","18,93%","-0,12%","18,07%","13,45%","4,86%","-19,03%","7,59%","8,23%","5,78%","22,70%","20,86%","5,91%","17,46%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,46","0,46","0,50","0,59","0,44","0,40","0,39","0,33","0,29","0,23","0,27","0,35","0,34","0,42","0,39","0,27","0,38"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"15,85%","15,85%","15,85%","25,41%","21,72%","12,46%","5,79%","3,53%","-1,21%","-1,27%","11,24%","7,55%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"21,94%","21,94%","40,33%","55,55%",-%,-%,"194,87%","12,25%","-18,85%",-%,"-37,90%","-64,79%",-%,-%,-%,-%,-%
