Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
INDICADORES DE VALUATION,D.Y,"3,48%","1,89%","5,51%","9,51%","4,25%","8,91%","5,71%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"13,71","13,03","11,79","9,98","6,60","15,84","9,38",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"7,01","6,67",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,06","1,96","1,44","2,03","2,11","4,00","3,09",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,12","7,83","6,95","11,10","6,07","20,97","11,58",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"9,22","8,89","7,92","13,48","6,78","29,15","13,60",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"6,05","5,75","4,01","7,88","5,05","18,62","10,68",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"6,87","6,53","4,57","9,57","5,65","25,89","12,55",-,-,-,-
INDICADORES DE VALUATION,VPA,"11,64","11,64","10,83","10,56","10,48","7,52","8,31",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,68","0,65","0,44","0,74","0,91","1,35","1,18",-,-,-,-
INDICADORES DE VALUATION,LPA,"1,75","1,75","1,32","2,14","3,35","1,90","2,74",-,-,-,-
INDICADORES DE VALUATION,P/SR,"0,17","0,16","0,10","0,19","0,32","0,37","0,31",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,21","2,10","1,44","2,39","4,02","9,66","3,63",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,49","-1,42","-0,96","-1,55","-1,72","-2,57","-2,39",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,71","0,71","1,05","0,83","0,43","0,50","0,26","0,48","1,65","1,23","0,61"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,07","2,07","2,93","3,23","1,02","2,35","0,90","1,64","27,91","-10,48","4,44"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,36","2,36","3,34","3,92","1,14","3,26","1,05","1,99","-816,93","-7,47","5,86"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,33","0,33","0,31","0,36","0,43","0,34","0,38","0,37","0,24","0,32","0,44"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,67","0,67","0,69","0,64","0,57","0,66","0,62","0,63","0,76","0,68","0,56"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,31","2,31","2,31","2,42","1,92","1,42","2,81","2,43","2,18","2,30","0,94"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"4,58%","4,58%","4,13%","5,27%","5,47%","6,27%","5,99%","7,53%","7,46%","7,52%","7,40%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"2,81%","2,81%","2,49%","2,43%","6,26%","1,98%","2,87%","3,04%","0,51%","-1,20%","1,68%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"2,47%","2,47%","2,18%","2,00%","5,60%","1,42%","2,44%","2,51%","-0,02%","-1,68%","1,27%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"1,24%","1,24%","0,85%","1,92%","4,79%","2,33%","3,27%","1,36%","-0,36%","-1,19%","1,14%"
INDICADORES DE RENTABILIDADE,ROE,"15,01%","15,01%","12,19%","20,29%","31,99%","25,22%","32,97%","13,04%","-4,25%","-11,70%","9,26%"
INDICADORES DE RENTABILIDADE,ROA,"4,97%","4,97%","3,74%","7,37%","13,79%","8,55%","12,60%","4,84%","-1,00%","-3,72%","4,07%"
INDICADORES DE RENTABILIDADE,ROIC,"11,75%","11,75%","11,89%","7,38%","17,54%","1,68%","5,05%","12,62%","-1,66%","-10,50%","4,12%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"4,01","4,01","4,41","3,84","2,88","3,67","3,86","3,56","2,76","3,11","3,57"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"16,50%","16,50%","16,50%","8,47%","-3,48%","-0,73%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"12,07%","12,07%","5,95%",-%,-%,"14,51%",-%,-%,-%,-%,-%
