Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019
INDICADORES DE VALUATION,D.Y,"1,16%","1,06%","0,24%","1,29%","0,36%",-%
INDICADORES DE VALUATION,P/L,"19,40","21,13","14,68","20,13","47,44","23,63"
INDICADORES DE VALUATION,PEG RATIO,"1,22","1,33",-,-,-,-
INDICADORES DE VALUATION,P/VP,"3,96","4,31","3,20","4,31","5,94","11,38"
INDICADORES DE VALUATION,EV/EBITDA,"13,14","14,30","10,62","15,91","25,87",-
INDICADORES DE VALUATION,EV/EBIT,"16,96","18,46","13,84","19,79","33,21","21,53"
INDICADORES DE VALUATION,P/EBITDA,"13,02","14,18","10,81","16,39","26,42",-
INDICADORES DE VALUATION,P/EBIT,"16,80","18,31","14,08","20,39","33,93","21,60"
INDICADORES DE VALUATION,VPA,"7,95","7,95","7,02","5,90","4,96","2,56"
INDICADORES DE VALUATION,P/ATIVO,"2,46","2,68","1,81","2,34","3,25","5,44"
INDICADORES DE VALUATION,LPA,"1,62","1,62","1,53","1,26","0,62","1,23"
INDICADORES DE VALUATION,P/SR,"3,62","3,94","2,87","4,10","6,64","15,48"
INDICADORES DE VALUATION,P/CAP. GIRO,"6,42","6,99","5,12","6,61","8,35","17,39"
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-5,76","-6,28","-4,52","-6,13","-9,69","17,39"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,04","0,04","-0,05","-0,13","-0,13","-0,15"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,12","0,12","-0,18","-0,48","-0,56","-0,51"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,15","0,15","-0,24","-0,60","-0,72","-0,56"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,62","0,62","0,57","0,54","0,55","0,58"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,38","0,38","0,43","0,46","0,45","0,42"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"3,01","3,01","2,42","2,35","2,41","2,88"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"69,55%","69,55%","68,89%","67,61%","68,49%","71,20%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"27,78%","27,78%","26,59%","24,99%","25,14%","42,96%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"21,53%","21,53%","20,41%","20,10%","19,58%","39,07%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"18,65%","18,65%","19,57%","20,36%","14,00%","34,41%"
INDICADORES DE RENTABILIDADE,ROE,"20,40%","20,40%","21,77%","21,43%","12,52%","23,67%"
INDICADORES DE RENTABILIDADE,ROA,"12,67%","12,67%","12,31%","11,64%","6,85%","13,73%"
INDICADORES DE RENTABILIDADE,ROIC,"19,88%","19,88%","18,40%","15,40%","12,05%","17,18%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,68","0,68","0,63","0,57","0,49","0,40"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,-%,-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%
