Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"3,81%","3,85%","7,97%","7,19%","7,34%","6,86%","9,07%","5,84%","5,28%","10,27%","6,84%","11,76%","5,88%","3,93%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"17,78","18,13","15,74","13,06","16,48","16,58","7,82","15,12","15,07","11,16","9,10","12,12","11,03","5,55",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-1,62","-1,66",-,-,-,-,"0,08","1,18","0,77","-0,36","0,28","-0,73","4,89",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,25","1,27","0,94","1,17","1,13","1,18","0,98","1,00","0,89","0,56","1,00","1,05","1,10","0,56",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,"5,70",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,34","13,57",-,-,-,"14,33","8,27","12,42","11,66","8,46","10,40","10,42","7,48","4,98",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"3,34","4,29","4,42","4,57",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"11,58","11,81","9,75","11,50","11,95","11,49","7,39","10,50","9,66","7,28","8,78","9,23","6,81","4,17",-,-,-
INDICADORES DE VALUATION,VPA,"41,92","41,92","40,79","41,35","41,13","41,67","42,35","41,08","40,95","61,04","39,93","38,11","39,70","85,58",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,72","0,74","0,54","0,70","0,72","0,77","0,68","0,69","0,60","0,38","0,61","0,65","0,70","0,37",-,-,-
INDICADORES DE VALUATION,LPA,"2,95","2,95","2,44","3,69","2,82","2,96","5,28","2,73","2,42","3,04","4,39","3,30","3,96","8,60",-,-,-
INDICADORES DE VALUATION,P/SR,"1,71","1,74","1,34","1,85","1,82","1,87","1,61","1,61","1,45","0,95","1,28","1,30","1,45","0,83",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-52,74","-53,77","-13,16","-58,24","66,31","90,87","58,08","-61,61","-30,18","-527,27","-90,96","20,41","18,39","-26,01",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,86","-0,88","-0,63","-0,86","-0,88","-0,93","-0,83","-0,82","-0,74","-0,46","-0,78","-0,84","-0,91","-0,45",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,19","0,19","0,25","0,15","0,11","0,15","0,04","0,06","0,06","0,07","0,07","0,05","0,02","0,08","0,02","0,11","0,19"
