Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"1,83%","1,67%","1,34%","1,86%","0,57%","0,98%","1,98%","1,48%","2,43%","3,03%","2,36%","2,21%","2,00%","3,03%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"28,40","31,17","38,41","38,60","67,90","45,05","27,51","34,08","22,39","20,88","25,87","22,94","25,56","19,87",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,71","0,77",-,-,-,-,"1,60","15,53","-6,73","0,99","1,96","0,80","2,17",-,-,-,-
INDICADORES DE VALUATION,P/VP,"8,75","9,61","10,90","10,17","13,75","8,34","4,77","5,80","4,20","4,00","4,88","4,24","4,13","3,07",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"28,50","29,28","47,84","32,06",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"23,24","25,55","31,70","32,95","55,45","38,77","24,59","32,48","23,18","21,46","22,48","18,96","20,89","18,38",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"28,78","29,59","48,70","32,56",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"23,72","26,03","32,00","33,29","56,44","39,37","24,43","32,92","23,52","20,84","22,57","19,12","20,74","17,58",-,-,-
INDICADORES DE VALUATION,VPA,"3,84","3,84","3,53","3,24","5,51","4,15","3,68","4,16","3,69","3,73","6,26","7,34","6,54","6,12",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"4,69","5,15","5,75","5,78","7,98","4,64","2,39","2,78","1,85","1,69","2,10","1,91","1,89","1,28",-,-,-
INDICADORES DE VALUATION,LPA,"1,18","1,18","1,00","0,85","1,12","0,77","0,64","0,71","0,69","0,72","1,18","1,36","1,06","0,95",-,-,-
INDICADORES DE VALUATION,P/SR,"4,46","4,89","5,41","5,87","9,10","5,45","3,08","4,09","2,67","2,47","3,15","2,83","2,72","2,25",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"14,67","16,10","17,21","17,26","23,82","13,80","8,36","7,65","4,28","3,96","5,23","4,53","6,22","3,74",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-15,13","-16,60","-19,06","-17,33","-21,56","-12,27","-6,17","-8,53","-5,71","-5,17","-6,70","-5,88","-5,30","-3,60",-,-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
