Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"1,43%","1,23%","1,24%","2,28%","1,55%","1,07%","6,98%","0,86%","8,12%","2,36%","0,83%","1,31%","0,49%","2,60%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"31,70","36,85","-53,97","40,18","103,64","22,72","11,71","24,57","13,61","10,03","19,55","8,17","31,35","21,09",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,06","-0,07",-,-,-,-,"0,23","1,60","-0,83","0,47","0,41","0,07","0,56",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,84","2,14","1,07","1,96","3,17","4,73","2,91","3,76","2,06","1,65","2,96","1,32","4,86","2,39",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,25","6,85","5,58","8,20","14,96","12,47","7,81","14,20","8,65","7,55","14,98","4,86","17,10","12,72",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"11,84","12,97","11,98","18,38","37,59","17,47","9,78","19,28","12,26","10,19","19,48","6,17","24,07","19,36",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"3,68","4,28","2,37","5,19","11,36","11,64","7,81","14,14","7,70","6,99","15,25","6,33","16,44","12,03",-,-,-
INDICADORES DE VALUATION,P/EBIT,"6,97","8,10","5,09","11,63","28,55","16,31","9,78","19,20","10,92","9,43","19,84","8,04","23,13","18,31",-,-,-
INDICADORES DE VALUATION,VPA,"10,48","10,48","9,53","10,49","10,37","10,04","8,15","8,74","7,68","8,47","8,05","15,50","8,58","7,52",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,61","0,71","0,35","0,64","1,10","2,66","1,84","2,59","1,21","1,01","2,02","0,93","2,77","1,38",-,-,-
INDICADORES DE VALUATION,LPA,"0,61","0,61","-0,19","0,51","0,32","2,09","2,03","1,34","1,16","1,39","1,22","2,50","1,33","0,85",-,-,-
INDICADORES DE VALUATION,P/SR,"1,19","1,38","0,69","1,45","2,64","4,12","2,09","3,09","1,57","1,51","2,97","1,15","2,49","1,29",-,-,-
