TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,97;;-4,03;1,05;0,39;30,10;1,60;-22,81;57,35;98,26;40,90;0,75;0,92;-4,74;-0,50;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;873.457,87;8,58;-2,22;-0,04;1.061.086.559,52
ABCB4;24,95;6,32;6,10;1,03;0,11;25,50;17,06;15,50;5,54;5,54;;;0,95;-2,88;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;15.783.637,69;24,15;4,09;-0,33;5.911.555.595,20
ABEV3;12,43;5,87;12,98;2,17;1,42;50,30;22,59;18,29;10,51;9,77;-0,75;-0,15;2,38;52,83;-1,95;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;354.060.336,41;5,73;0,96;0,86;195.820.147.720,12
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,55;;-6,24;0,84;0,18;12,62;9,03;-3,39;2,34;5,86;3,51;1,26;0,21;0,83;-0,55;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;2.453.405,67;0,66;-0,09;-0,03;683.322.163,15
AESB3;10,25;;39,10;1,38;0,31;35,54;28,78;4,90;6,66;16,62;9,96;2,06;1,92;18,89;-0,37;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;25.537.817,36;7,43;0,26;-0,58;6.169.754.937,75
AFLT3;7,16;3,67;14,74;1,73;1,44;57,31;45,58;44,72;14,46;14,09;-0,38;-0,05;6,59;14,81;-1,80;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;6.566,22;4,15;0,49;-0,20;451.686.452,00
AGRO3;24,80;12,95;9,93;1,16;0,73;30,65;20,17;20,86;10,27;12,12;1,85;0,21;2,07;3,55;-1,18;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;8.513.989,85;21,40;2,50;-0,23;2.546.549.411,20
AGXY3;2,03;1,95;-1,38;0,34;0,04;12,31;3,90;-2,43;0,86;3,45;2,59;1,03;0,03;1,52;-0,20;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;463.429,41;6,00;-1,48;0,00;346.774.727,67
AHEB3;16,10;;1,41;8,24;0,37;33,84;21,93;17,66;1,14;1,12;-0,02;-0,17;0,25;2,40;-0,65;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;5.567,50;1,95;11,39;0,00;137.681.829,04
AHEB5;16,61;;1,46;8,50;0,38;33,84;21,93;17,66;1,18;1,12;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.661,00;1,95;11,39;0,00;137.681.829,04
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,12;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;137.681.829,04
ALLD3;9,47;10,19;11,60;0,57;0,26;12,55;3,39;1,31;4,49;5,78;1,28;0,16;0,15;0,87;-0,83;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;406.429,54;16,66;0,82;3,79;882.798.911,54
ALOS3;24,19;2,15;4,43;0,94;0,50;96,37;264,05;140,12;2,35;2,07;-0,28;-0,11;6,21;13,53;-0,55;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;81.545.772,41;25,62;5,46;0,00;13.883.533.828,71
ALPA3;10,35;;-25,11;1,31;0,89;40,37;-9,97;-7,36;-18,52;-19,86;-2,17;0,15;1,85;3,18;-1,47;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;45.444,53;7,89;-0,41;0,15;6.753.626.587,34
ALPA4;9,43;;-22,88;1,20;0,82;40,37;-9,97;-7,36;-16,87;-19,86;-2,17;0,15;1,68;2,90;-1,34;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;41.842.460,26;7,89;-0,41;0,14;6.753.626.587,34
ALPK3;4,49;;-9,00;2,56;0,38;29,90;10,81;-8,39;6,98;15,63;8,65;3,17;0,75;-3,25;-0,44;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;526.945,31;1,75;-0,50;0,26;974.437.872,25
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;30,93;5,82;12,66;1,25;0,33;75,83;71,87;23,53;4,14;8,06;3,91;1,18;2,98;3,71;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;21.266.233,33;24,75;2,44;-0,59;9.426.182.508,24
ALUP3;10,40;5,77;12,77;1,26;0,34;75,83;71,87;23,53;4,18;8,06;3,91;1,18;3,00;3,74;-0,42;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;142.325,41;8,25;0,81;-0,60;9.426.182.508,24
ALUP4;10,29;5,83;12,63;1,25;0,33;75,83;71,87;23,53;4,14;8,06;3,91;1,18;2,97;3,70;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;180.449,79;8,25;0,81;-0,59;9.426.182.508,24
AMAR3;1,81;;-0,21;1,15;0,05;35,54;-16,35;-26,68;-0,34;-3,38;-3,04;10,33;0,06;-0,38;-0,08;0,75;-554,09;-24,09;-27,15;0,04;0,96;0,90;-0,89;;1.804.226,74;1,57;-8,71;0,00;124.109.133,42
AMBP3;15,09;0,89;-19,86;2,55;0,24;23,51;18,46;-2,69;2,89;8,08;5,19;4,56;0,53;1,00;-0,42;2,30;-12,82;-1,21;8,16;0,09;0,84;0,45;83,52;;11.059.854,33;5,92;-0,76;0,08;2.520.661.803,21
AMER3;0,55;;-0,04;-0,02;0,02;19,46;-30,26;-50,03;-0,06;-2,20;-2,14;;0,02;-0,02;-0,03;0,34;-48,42;-41,26;202,73;-0,85;1,85;0,82;32,64;;9.964.981,56;-29,55;-14,31;0,00;496.391.226,65
